"시도별","시점","연령계층별",데이터
"울산광역시","2020.4/4","계",3.8
"울산광역시","2021.1/4","계",4.9
"울산광역시","2021.2/4","계",3.6
"울산광역시","2021.3/4","계",2.6
"울산광역시","2021.4/4","계",3.1
"울산광역시","2022.1/4","계",3.8
"울산광역시","2022.2/4","계",3.5
"울산광역시","2022.3/4","계",2.7
"울산광역시","2022.4/4","계",2.8
"울산광역시","2023.1/4","계",4.0
"울산광역시","2023.2/4","계",3.5
"울산광역시","2023.3/4","계",2.8
"울산광역시","2023.4/4","계",3.5
"울산광역시","2024.1/4","계",4.4
"울산광역시","2024.2/4","계",3.7
"울산광역시","2024.3/4","계",3.4
"울산광역시","2024.4/4","계",3.3
"세종특별자치시","2020.1/4","계",3.0
"세종특별자치시","2020.2/4","계",3.3
"세종특별자치시","2020.3/4","계",2.8
"세종특별자치시","2020.4/4","계",1.8
"세종특별자치시","2021.1/4","계",3.2
"세종특별자치시","2021.2/4","계",2.1
"세종특별자치시","2021.3/4","계",1.6
"세종특별자치시","2021.4/4","계",1.4
"세종특별자치시","2022.1/4","계",2.5
"세종특별자치시","2022.2/4","계",2.3
"세종특별자치시","2022.3/4","계",1.9
"세종특별자치시","2022.4/4","계",1.4
"세종특별자치시","2023.1/4","계",2.3
"세종특별자치시","2023.2/4","계",2.4
"세종특별자치시","2023.3/4","계",2.0
"세종특별자치시","2023.4/4","계",1.5
"세종특별자치시","2024.1/4","계",2.1
"세종특별자치시","2024.2/4","계",1.8
"세종특별자치시","2024.3/4","계",1.8
"세종특별자치시","2024.4/4","계",1.8
"경기도","2020.1/4","계",4.2
"경기도","2020.2/4","계",4.1
"경기도","2020.3/4","계",3.8
"경기도","2020.4/4","계",3.8
"경기도","2021.1/4","계",4.7
"경기도","2021.2/4","계",4.2
"경기도","2021.3/4","계",3.0
"경기도","2021.4/4","계",2.8
"경기도","2022.1/4","계",3.0
"경기도","2022.2/4","계",3.0
"경기도","2022.3/4","계",2.5
"경기도","2022.4/4","계",2.4
"경기도","2023.1/4","계",2.8
"경기도","2023.2/4","계",2.7
"경기도","2023.3/4","계",2.5
"경기도","2023.4/4","계",2.4
"경기도","2024.1/4","계",3.1
"경기도","2024.2/4","계",2.9
"경기도","2024.3/4","계",2.0
"경기도","2024.4/4","계",2.4
"강원도","2020.1/4","계",5.1
"강원도","2020.2/4","계",3.8
"강원도","2020.3/4","계",3.0
"강원도","2020.4/4","계",3.9
"강원도","2021.1/4","계",5.9
"강원도","2021.2/4","계",2.8
"강원도","2021.3/4","계",2.3
"강원도","2021.4/4","계",3.7
"강원도","2022.1/4","계",4.7
"강원도","2022.2/4","계",2.5
"강원도","2022.3/4","계",2.2
"강원도","2022.4/4","계",3.4
"강원도","2023.1/4","계",4.6
"강원도","2023.2/4","계",2.2
"강원도","2023.3/4","계",1.6
"강원도","2023.4/4","계",2.8
"강원도","2024.1/4","계",4.5
"강원도","2024.2/4","계",2.3
"강원도","2024.3/4","계",1.3
"강원도","2024.4/4","계",3.1
"충청북도","2020.1/4","계",3.7
"충청북도","2020.2/4","계",3.1
"충청북도","2020.3/4","계",3.0
"충청북도","2020.4/4","계",2.9
"충청북도","2021.1/4","계",3.5
"충청북도","2021.2/4","계",2.5
"충청북도","2021.3/4","계",2.0
"충청북도","2021.4/4","계",1.9
"충청북도","2022.1/4","계",3.2
"충청북도","2022.2/4","계",2.7
"충청북도","2022.3/4","계",2.1
"충청북도","2022.4/4","계",1.8
"충청북도","2023.1/4","계",3.2
"충청북도","2023.2/4","계",2.2
"충청북도","2023.3/4","계",1.8
"충청북도","2023.4/4","계",2.0
"충청북도","2024.1/4","계",3.0
"충청북도","2024.2/4","계",2.0
"충청북도","2024.3/4","계",1.7
"충청북도","2024.4/4","계",2.3
"충청남도","2020.1/4","계",3.9
"충청남도","2020.2/4","계",4.0
"충청남도","2020.3/4","계",2.9
"충청남도","2020.4/4","계",3.1
"충청남도","2021.1/4","계",3.7
"충청남도","2021.2/4","계",2.7
"충청남도","2021.3/4","계",1.3
"충청남도","2021.4/4","계",1.5
"충청남도","2022.1/4","계",2.9
"충청남도","2022.2/4","계",2.8
"충청남도","2022.3/4","계",1.9
"충청남도","2022.4/4","계",1.8
"충청남도","2023.1/4","계",3.2
"충청남도","2023.2/4","계",2.4
"충청남도","2023.3/4","계",2.2
"충청남도","2023.4/4","계",2.6
"충청남도","2024.1/4","계",4.1
"충청남도","2024.2/4","계",3.2
"충청남도","2024.3/4","계",2.2
"충청남도","2024.4/4","계",2.3
"전라북도","2020.1/4","계",2.8
"전라북도","2020.2/4","계",2.8
"전라북도","2020.3/4","계",1.9
"전라북도","2020.4/4","계",2.4
"전라북도","2021.1/4","계",2.8
"전라북도","2021.2/4","계",2.2
"전라북도","2021.3/4","계",1.7
"전라북도","2021.4/4","계",2.1
"전라북도","2022.1/4","계",2.9
"전라북도","2022.2/4","계",2.5
"전라북도","2022.3/4","계",1.7
"전라북도","2022.4/4","계",2.6
"전라북도","2023.1/4","계",2.8
"전라북도","2023.2/4","계",2.8
"전라북도","2023.3/4","계",1.9
"전라북도","2023.4/4","계",2.5
"전라북도","2024.1/4","계",2.5
"전라북도","2024.2/4","계",2.5
"전라북도","2024.3/4","계",1.7
"전라북도","2024.4/4","계",3.4
"전라남도","2020.1/4","계",3.1
"전라남도","2020.2/4","계",2.5
"전라남도","2020.3/4","계",1.8
"전라남도","2020.4/4","계",2.0
"전라남도","2021.1/4","계",3.8
"전라남도","2021.2/4","계",2.1
"전라남도","2021.3/4","계",1.5
"전라남도","2021.4/4","계",2.1
"전라남도","2022.1/4","계",3.0
"전라남도","2022.2/4","계",2.0
"전라남도","2022.3/4","계",1.8
"전라남도","2022.4/4","계",2.1
"전라남도","2023.1/4","계",3.1
"전라남도","2023.2/4","계",1.6
"전라남도","2023.3/4","계",1.9
"전라남도","2023.4/4","계",2.3
"전라남도","2024.1/4","계",3.0
"전라남도","2024.2/4","계",2.3
"전라남도","2024.3/4","계",2.1
"전라남도","2024.4/4","계",3.5
"경상북도","2020.1/4","계",4.2
"경상북도","2020.2/4","계",4.9
"경상북도","2020.3/4","계",3.5
"경상북도","2020.4/4","계",3.6
"경상북도","2021.1/4","계",5.4
"경상북도","2021.2/4","계",3.7
"경상북도","2021.3/4","계",1.8
"경상북도","2021.4/4","계",2.0
"경상북도","2022.1/4","계",3.4
"경상북도","2022.2/4","계",2.2
"경상북도","2022.3/4","계",1.8
"경상북도","2022.4/4","계",2.6
"경상북도","2023.1/4","계",3.0
"경상북도","2023.2/4","계",2.7
"경상북도","2023.3/4","계",2.2
"경상북도","2023.4/4","계",2.5
"경상북도","2024.1/4","계",3.4
"경상북도","2024.2/4","계",2.7
"경상북도","2024.3/4","계",1.8
"경상북도","2024.4/4","계",2.3
"경상남도","2020.1/4","계",4.0
"경상남도","2020.2/4","계",4.3
"경상남도","2020.3/4","계",3.7
"경상남도","2020.4/4","계",4.0
"경상남도","2021.1/4","계",5.7
"경상남도","2021.2/4","계",3.8
"경상남도","2021.3/4","계",3.1
"경상남도","2021.4/4","계",3.7
"경상남도","2022.1/4","계",3.8
"경상남도","2022.2/4","계",3.6
"경상남도","2022.3/4","계",3.0
"경상남도","2022.4/4","계",2.8
"경상남도","2023.1/4","계",3.7
"경상남도","2023.2/4","계",2.4
"경상남도","2023.3/4","계",1.7
"경상남도","2023.4/4","계",2.2
"경상남도","2024.1/4","계",2.7
"경상남도","2024.2/4","계",2.0
"경상남도","2024.3/4","계",1.8
"경상남도","2024.4/4","계",2.6
"제주도","2020.1/4","계",2.7
"제주도","2020.2/4","계",3.2
"제주도","2020.3/4","계",2.1
"제주도","2020.4/4","계",1.9
"제주도","2021.1/4","계",4.0
"제주도","2021.2/4","계",3.3
"제주도","2021.3/4","계",2.6
"제주도","2021.4/4","계",2.6
"제주도","2022.1/4","계",2.5
"제주도","2022.2/4","계",2.0
"제주도","2022.3/4","계",1.8
"제주도","2022.4/4","계",2.2
"제주도","2023.1/4","계",2.7
"제주도","2023.2/4","계",2.1
"제주도","2023.3/4","계",1.4
"제주도","2023.4/4","계",1.4
"제주도","2024.1/4","계",2.6
"제주도","2024.2/4","계",2.3
"제주도","2024.3/4","계",1.9
"제주도","2024.4/4","계",2.6
