"시도별",2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07
"전국",99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.50,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.85,105.42,106.10,106.83,107.50,108.21,108.73,108.63,108.82,109.16,109.07,109.26,110.07,110.33,110.52,110.77,111.13,111.16,111.29,112.28,112.85,113.27,112.68,112.73,113.17,113.78,113.95,114.01,114.10,113.84,114.13,114.54,114.65,114.69,114.40,114.91,115.71,116.08,116.29,116.38,116.27,116.31,116.52
"서울특별시",99.110,99.393,99.733,99.950,99.421,99.610,99.80,99.84,99.83,99.61,99.65,99.91,99.74,100.27,100.70,100.23,100.14,100.27,100.86,101.33,101.57,101.68,101.74,101.68,101.88,102.33,102.67,102.90,103.20,103.32,104.09,104.70,105.09,105.73,106.29,106.85,107.47,107.65,107.78,108.12,108.00,108.46,109.22,109.60,109.77,109.94,110.37,110.50,110.63,111.69,112.08,112.51,111.98,112.25,112.60,113.07,113.02,113.37,113.42,113.17,113.46,113.94,113.92,114.04,113.73,114.24,114.90,115.21,115.40,115.64,115.51,115.52,115.79
"부산광역시",99.567,99.690,100.269,100.212,99.747,99.918,100.06,100.18,99.91,99.55,99.53,99.69,99.57,100.15,100.79,100.22,100.06,100.28,101.17,101.79,101.91,102.00,102.03,101.95,102.19,102.61,103.17,103.22,103.63,103.87,104.72,105.23,105.85,106.44,107.05,107.78,108.19,108.22,108.38,108.79,108.72,108.83,109.83,110.00,110.24,110.41,110.84,110.90,111.10,111.89,112.44,113.12,112.57,112.67,113.11,113.84,113.98,113.92,113.87,113.71,113.97,114.39,114.67,114.76,114.29,114.97,115.75,116.10,116.39,116.39,116.28,116.26,116.60
"대구광역시",99.518,99.783,100.179,100.435,99.735,99.896,100.10,100.22,99.95,99.33,99.32,99.63,99.64,100.29,100.80,100.26,100.10,100.37,101.12,101.57,101.99,102.09,102.14,102.12,102.36,102.90,103.43,103.56,104.11,104.30,105.10,105.79,106.44,107.09,107.75,108.28,108.93,108.88,109.29,109.61,109.48,109.59,110.43,110.68,110.93,111.13,111.27,111.31,111.47,112.57,112.95,113.38,112.74,112.56,113.14,113.95,114.08,113.87,114.00,113.86,114.12,114.54,114.73,114.73,114.49,114.84,115.57,116.10,116.34,116.45,116.26,116.29,116.43
"인천광역시",98.979,99.159,99.585,99.756,99.273,99.529,99.94,100.07,99.89,99.49,99.42,99.77,99.75,100.24,100.81,100.22,100.06,100.34,101.03,101.65,101.83,102.02,102.08,102.11,102.36,102.94,103.41,103.56,104.06,104.38,105.24,105.87,106.25,107.03,107.71,108.44,108.87,108.70,108.94,109.40,109.36,109.66,110.48,110.61,110.75,110.95,111.31,111.26,111.61,112.69,113.17,113.79,113.12,113.27,113.76,114.44,114.79,114.56,114.78,114.48,114.71,115.17,115.19,115.18,114.84,115.52,116.46,116.96,116.91,116.98,116.90,116.93,117.14
"광주광역시",99.242,99.461,99.890,100.214,99.737,99.861,100.22,100.35,99.97,99.60,99.63,99.67,99.55,100.09,100.63,100.03,99.93,100.34,101.13,101.53,101.92,102.13,102.24,102.19,102.36,102.82,103.15,103.27,103.95,104.10,104.83,105.24,106.11,106.90,107.86,108.54,109.01,108.77,108.80,109.16,109.10,109.10,110.07,110.34,110.82,110.95,111.24,111.40,111.51,112.48,112.98,113.47,112.95,112.92,113.47,114.11,114.37,114.62,114.79,114.38,114.61,114.95,114.81,114.93,114.61,115.14,115.94,116.45,116.57,116.76,116.46,116.55,116.59
"대전광역시",99.322,99.532,99.800,100.058,99.503,99.781,100.14,100.20,99.91,99.49,99.54,99.86,99.74,100.26,100.53,99.95,100.00,100.38,101.05,101.53,101.90,102.09,102.13,102.19,102.40,102.70,103.08,103.23,103.71,103.97,104.65,105.29,106.04,106.64,107.30,108.09,108.48,108.42,108.53,108.94,108.79,109.03,109.85,110.06,110.14,110.39,110.80,110.84,111.12,111.92,112.43,112.86,112.15,112.34,112.91,113.40,113.67,113.84,113.70,113.54,113.82,114.09,114.35,114.38,114.23,114.57,115.33,115.58,115.76,115.92,115.90,115.89,116.03
"울산광역시",99.380,99.582,99.996,100.188,99.544,99.794,100.18,100.29,100.06,99.53,99.52,99.53,99.59,100.10,100.69,100.13,100.06,100.30,101.18,101.67,101.86,101.88,102.00,101.93,102.20,102.71,103.26,103.22,103.86,104.12,104.86,105.23,105.92,106.72,107.38,107.99,108.52,108.42,108.72,109.13,108.90,109.07,109.95,109.99,110.27,110.45,110.94,110.97,111.07,112.19,112.87,113.39,112.44,112.57,112.98,113.75,113.87,113.95,113.81,113.51,113.91,114.25,114.41,114.49,114.18,114.56,115.43,115.82,115.94,116.00,115.89,115.89,116.33
"세종특별자치시",-,-,-,-,-,-,100.20,100.27,100.02,99.62,99.43,99.73,99.78,100.22,100.52,100.03,99.90,100.26,101.06,101.60,102.05,102.33,102.40,102.48,102.61,103.11,103.20,103.55,104.01,104.16,105.01,105.46,106.64,107.42,108.32,109.07,109.39,109.54,109.25,109.70,109.47,109.48,110.06,110.20,110.48,110.84,111.13,111.29,111.45,111.94,112.67,112.89,112.27,112.32,112.79,113.50,113.63,114.02,114.15,113.94,114.15,114.52,114.65,114.58,114.31,114.92,115.81,116.38,116.55,116.48,116.47,116.30,116.64
