시점,시도별,지출목적별,데이터
2020.08,세종특별자치시,0 총지수,100.22
2020.08,경기도,0 총지수,100.21
2020.08,강원특별자치도,0 총지수,100.08
2020.08,충청북도,0 총지수,100.14
2020.08,충청남도,0 총지수,100.04
2020.08,전라북도,0 총지수,100.13
2020.08,전라남도,0 총지수,100.19
2020.08,경상북도,0 총지수,100.11
2020.08,경상남도,0 총지수,100.15
2020.08,제주특별자치도,0 총지수,100.15
2020.09,전국,0 총지수,100.74
2020.09,서울특별시,0 총지수,100.7
2020.09,부산광역시,0 총지수,100.79
2020.09,대구광역시,0 총지수,100.8
2020.09,인천광역시,0 총지수,100.81
2020.09,광주광역시,0 총지수,100.63
2020.09,대전광역시,0 총지수,100.53
2020.09,울산광역시,0 총지수,100.69
2020.09,세종특별자치시,0 총지수,100.52
2020.09,경기도,0 총지수,100.73
2020.09,강원특별자치도,0 총지수,100.73
2020.09,충청북도,0 총지수,100.72
2020.09,충청남도,0 총지수,100.93
2020.09,전라북도,0 총지수,100.73
2020.09,전라남도,0 총지수,100.79
2020.09,경상북도,0 총지수,100.7
2020.09,경상남도,0 총지수,100.77
2020.09,제주특별자치도,0 총지수,100.72
2020.10,전국,0 총지수,100.18
2020.10,서울특별시,0 총지수,100.23
2020.10,부산광역시,0 총지수,100.22
2020.10,대구광역시,0 총지수,100.26
2020.10,인천광역시,0 총지수,100.22
2020.10,광주광역시,0 총지수,100.03
2020.10,대전광역시,0 총지수,99.95
2020.10,울산광역시,0 총지수,100.13
2020.10,세종특별자치시,0 총지수,100.03
2020.10,경기도,0 총지수,100.15
2020.10,강원특별자치도,0 총지수,100.05
2020.10,충청북도,0 총지수,99.97
2020.10,충청남도,0 총지수,100.24
2020.10,전라북도,0 총지수,100.1
2020.10,전라남도,0 총지수,100.21
2020.10,경상북도,0 총지수,100.03
2020.10,경상남도,0 총지수,100.24
2020.10,제주특별자치도,0 총지수,100.47
2020.11,전국,0 총지수,100.09
2020.11,서울특별시,0 총지수,100.14
2020.11,부산광역시,0 총지수,100.06
2020.11,대구광역시,0 총지수,100.1
2020.11,인천광역시,0 총지수,100.06
2020.11,광주광역시,0 총지수,99.93
2020.11,대전광역시,0 총지수,100
2020.11,울산광역시,0 총지수,100.06
2020.11,세종특별자치시,0 총지수,99.9
2020.11,경기도,0 총지수,100.12
2020.11,강원특별자치도,0 총지수,100
2020.11,충청북도,0 총지수,100.01
2020.11,충청남도,0 총지수,100.18
2020.11,전라북도,0 총지수,100.03
2020.11,전라남도,0 총지수,99.88
2020.11,경상북도,0 총지수,99.94
2020.11,경상남도,0 총지수,100.11
2020.11,제주특별자치도,0 총지수,100.06
2020.12,전국,0 총지수,100.33
2020.12,서울특별시,0 총지수,100.27
2020.12,부산광역시,0 총지수,100.28
2020.12,대구광역시,0 총지수,100.37
2020.12,인천광역시,0 총지수,100.34
2020.12,광주광역시,0 총지수,100.34
2020.12,대전광역시,0 총지수,100.38
2020.12,울산광역시,0 총지수,100.3
2020.12,세종특별자치시,0 총지수,100.26
2020.12,경기도,0 총지수,100.4
2020.12,강원특별자치도,0 총지수,100.25
2020.12,충청북도,0 총지수,100.22
2020.12,충청남도,0 총지수,100.38
2020.12,전라북도,0 총지수,100.34
2020.12,전라남도,0 총지수,100.18
2020.12,경상북도,0 총지수,100.2
2020.12,경상남도,0 총지수,100.37
2020.12,제주특별자치도,0 총지수,100.07
2021.01,전국,0 총지수,101.04
2021.01,서울특별시,0 총지수,100.86
2021.01,부산광역시,0 총지수,101.17
2021.01,대구광역시,0 총지수,101.12
2021.01,인천광역시,0 총지수,101.03
2021.01,광주광역시,0 총지수,101.13
2021.01,대전광역시,0 총지수,101.05
2021.01,울산광역시,0 총지수,101.18
2021.01,세종특별자치시,0 총지수,101.06
2021.01,경기도,0 총지수,101.05
2021.01,강원특별자치도,0 총지수,101.01
2021.01,충청북도,0 총지수,101.21
2021.01,충청남도,0 총지수,101.05
2021.01,전라북도,0 총지수,101.01
2021.01,전라남도,0 총지수,101.02
2021.01,경상북도,0 총지수,101.05
2021.01,경상남도,0 총지수,101.18
2021.01,제주특별자치도,0 총지수,100.79
2021.02,전국,0 총지수,101.58
2021.02,서울특별시,0 총지수,101.33
2021.02,부산광역시,0 총지수,101.79
2021.02,대구광역시,0 총지수,101.57
2021.02,인천광역시,0 총지수,101.65
2021.02,광주광역시,0 총지수,101.53
2021.02,대전광역시,0 총지수,101.53
2021.02,울산광역시,0 총지수,101.67
2021.02,세종특별자치시,0 총지수,101.6
2021.02,경기도,0 총지수,101.66
2021.02,강원특별자치도,0 총지수,101.63
2021.02,충청북도,0 총지수,101.67
2021.02,충청남도,0 총지수,101.62
2021.02,전라북도,0 총지수,101.59
2021.02,전라남도,0 총지수,101.47
2021.02,경상북도,0 총지수,101.69
2021.02,경상남도,0 총지수,101.63
2021.02,제주특별자치도,0 총지수,101.38
2021.03,전국,0 총지수,101.84
2021.03,서울특별시,0 총지수,101.57
2021.03,부산광역시,0 총지수,101.91
2021.03,대구광역시,0 총지수,101.99
2021.03,인천광역시,0 총지수,101.83
2021.03,광주광역시,0 총지수,101.92
2021.03,대전광역시,0 총지수,101.9
2021.03,울산광역시,0 총지수,101.86
2021.03,세종특별자치시,0 총지수,102.05
2021.03,경기도,0 총지수,101.87
2021.03,강원특별자치도,0 총지수,102.04
2021.03,충청북도,0 총지수,102.05
2021.03,충청남도,0 총지수,102.04
2021.03,전라북도,0 총지수,101.91
2021.03,전라남도,0 총지수,101.91
2021.03,경상북도,0 총지수,101.92
2021.03,경상남도,0 총지수,101.85
2021.03,제주특별자치도,0 총지수,101.62
2021.04,전국,0 총지수,101.98
2021.04,서울특별시,0 총지수,101.68
2021.04,부산광역시,0 총지수,102
2021.04,대구광역시,0 총지수,102.09
2021.04,인천광역시,0 총지수,102.02
2021.04,광주광역시,0 총지수,102.13
2021.04,대전광역시,0 총지수,102.09
2021.04,울산광역시,0 총지수,101.88
2021.04,세종특별자치시,0 총지수,102.33
2021.04,경기도,0 총지수,102.01
2021.04,강원특별자치도,0 총지수,102.19
2021.04,충청북도,0 총지수,102.17
2021.04,충청남도,0 총지수,102.16
2021.04,전라북도,0 총지수,102.05
2021.04,전라남도,0 총지수,102
2021.04,경상북도,0 총지수,102.01
2021.04,경상남도,0 총지수,102.07
2021.04,제주특별자치도,0 총지수,102.1
2021.05,전국,0 총지수,102.05
2021.05,서울특별시,0 총지수,101.74
2021.05,부산광역시,0 총지수,102.03
2021.05,대구광역시,0 총지수,102.14
2021.05,인천광역시,0 총지수,102.08
2021.05,광주광역시,0 총지수,102.24
2021.05,대전광역시,0 총지수,102.13
2021.05,울산광역시,0 총지수,102
2021.05,세종특별자치시,0 총지수,102.4
2021.05,경기도,0 총지수,102.1
2021.05,강원특별자치도,0 총지수,102.19
2021.05,충청북도,0 총지수,102.27
2021.05,충청남도,0 총지수,102.3
2021.05,전라북도,0 총지수,102.1
2021.05,전라남도,0 총지수,102.17
2021.05,경상북도,0 총지수,102.14
2021.05,경상남도,0 총지수,102.14
2021.05,제주특별자치도,0 총지수,102.18
2021.06,전국,0 총지수,102.05
2021.06,서울특별시,0 총지수,101.68
2021.06,부산광역시,0 총지수,101.95
2021.06,대구광역시,0 총지수,102.12
2021.06,인천광역시,0 총지수,102.11
2021.06,광주광역시,0 총지수,102.19
2021.06,대전광역시,0 총지수,102.19
2021.06,울산광역시,0 총지수,101.93
2021.06,세종특별자치시,0 총지수,102.48
2021.06,경기도,0 총지수,102.17
2021.06,강원특별자치도,0 총지수,102.28
2021.06,충청북도,0 총지수,102.33
2021.06,충청남도,0 총지수,102.38
2021.06,전라북도,0 총지수,102.11
2021.06,전라남도,0 총지수,102.16
2021.06,경상북도,0 총지수,102.25
2021.06,경상남도,0 총지수,102.08
2021.06,제주특별자치도,0 총지수,102.02
2021.07,전국,0 총지수,102.26
2021.07,서울특별시,0 총지수,101.88
2021.07,부산광역시,0 총지수,102.19
2021.07,대구광역시,0 총지수,102.36
2021.07,인천광역시,0 총지수,102.36
2021.07,광주광역시,0 총지수,102.36
2021.07,대전광역시,0 총지수,102.4
2021.07,울산광역시,0 총지수,102.2
2021.07,세종특별자치시,0 총지수,102.61
2021.07,경기도,0 총지수,102.33
2021.07,강원특별자치도,0 총지수,102.46
2021.07,충청북도,0 총지수,102.5
2021.07,충청남도,0 총지수,102.55
2021.07,전라북도,0 총지수,102.39
2021.07,전라남도,0 총지수,102.35
2021.07,경상북도,0 총지수,102.49
2021.07,경상남도,0 총지수,102.26
2021.07,제주특별자치도,0 총지수,102.39
2021.08,전국,0 총지수,102.75
2021.08,서울특별시,0 총지수,102.33
2021.08,부산광역시,0 총지수,102.61
2021.08,대구광역시,0 총지수,102.9
2021.08,인천광역시,0 총지수,102.94
