지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm)
93,북춘천,2024-12,-2.4,4,-8.2,3.6
95,철원,2020-01,-1.2,4.8,-6.2,79.7
95,철원,2020-02,0,6,-5.4,46.8
95,철원,2020-03,5.5,12.6,-2.2,16.9
95,철원,2020-04,9.1,16.4,1.1,20.9
95,철원,2020-05,16.9,22.6,11.6,161.7
95,철원,2020-06,22.5,28.2,17.4,92.2
95,철원,2020-07,22.8,27.5,18.9,184.5
95,철원,2020-08,25.1,28.7,22.3,903
95,철원,2020-09,18.8,24.4,14.1,166
95,철원,2020-10,10.9,18.5,3.9,4.1
95,철원,2020-11,5,11.4,-1,72.3
95,철원,2020-12,-3.9,2.1,-9.7,1.2
95,철원,2021-01,-5.9,.7,-12.6,7.6
95,철원,2021-02,.1,6.8,-6.7,4.8
95,철원,2021-03,6.2,13.4,-.3,103.7
95,철원,2021-04,12,18.7,5.2,99.3
95,철원,2021-05,15.5,21.8,9.7,199.1
95,철원,2021-06,21.2,26.8,16.4,67.6
95,철원,2021-07,26.1,31.7,21.2,117.2
95,철원,2021-08,23.6,28.7,19.7,219.6
95,철원,2021-09,20.3,26,15.1,105.9
95,철원,2021-10,12.7,19.2,7.3,128.3
95,철원,2021-11,5.3,12,-.4,57.3
95,철원,2021-12,-2.1,3.6,-7.5,4.9
95,철원,2022-01,-5.8,1.3,-12.7,2.5
95,철원,2022-02,-3.9,2.8,-10.8,8.9
95,철원,2022-03,5.2,11.6,-1.3,90.9
95,철원,2022-04,12.6,19.9,5.1,17.9
95,철원,2022-05,16.7,23.8,9.4,14.5
95,철원,2022-06,21.2,25.8,17,437.2
95,철원,2022-07,25.2,29.9,21.4,247.6
95,철원,2022-08,24,28.2,20.6,420.4
95,철원,2022-09,19.4,25.9,13.8,257.4
95,철원,2022-10,11.4,18.3,5.7,162.1
95,철원,2022-11,6.6,13.9,.5,85.2
95,철원,2022-12,-6.8,-.6,-12.7,8.1
95,철원,2023-01,-5.8,.7,-12.4,42.2
95,철원,2023-02,-.9,5.7,-6.9,0
95,철원,2023-03,6.7,15.1,-1.4,12.5
95,철원,2023-04,11.7,17.9,5.2,97.5
95,철원,2023-05,17.4,24,10.8,161.9
95,철원,2023-06,21.7,27.3,16.7,220.4
