년도,월,지역,차종,용도,전기차 등록수,전기차 순증가량,연료소비효율,1회충전주행거리,배터리충전용량,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),미세먼지2.5 수치,미세먼지10 수치,cpi,실업률,평균기준금리,경상소득,보조금,민간공고대수,출고대수,출고잔여대수,휘발유가격,디젤가격
2020,1,경남,승용,비사업용,3452,9,4.741666666666666,399.3611111111111,227.88888888888889,738.0,162.0,900.0,1519.0,326.0,1845.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285716,19.0,29.0,100.2,4.0,1.25,5346,1470.0,1572.0,1532.0,61.0,1547.44,1381.84
2020,1,경남,승용,사업용,103,-2,4.741666666666666,399.3611111111111,227.88888888888889,738.0,162.0,900.0,1519.0,326.0,1845.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285716,19.0,29.0,100.2,4.0,1.25,5346,1470.0,1572.0,1532.0,61.0,1547.44,1381.84
2020,1,경남,화물,계,3,1,2.725,149.25,202.5,738.0,162.0,900.0,1519.0,326.0,1845.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285716,19.0,29.0,100.2,4.0,1.25,5346,2466.6666666666665,874.0,914.0,19.0,1547.44,1381.84
2020,1,경남,화물,비사업용,3,1,2.725,149.25,202.5,738.0,162.0,900.0,1519.0,326.0,1845.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285716,19.0,29.0,100.2,4.0,1.25,5346,2466.6666666666665,874.0,914.0,19.0,1547.44,1381.84
2020,1,경남,화물,사업용,0,0,2.725,149.25,202.5,738.0,162.0,900.0,1519.0,326.0,1845.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285716,19.0,29.0,100.2,4.0,1.25,5346,2466.6666666666665,874.0,914.0,19.0,1547.44,1381.84
2020,1,경북,승용,계,4059,21,4.741666666666666,399.3611111111111,227.88888888888889,557.0,263.0,820.0,1035.0,495.0,1530.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,1442.7272727272727,1613.0,1141.0,398.0,1553.58,1383.63
2020,1,경북,승용,비사업용,3979,21,4.741666666666666,399.3611111111111,227.88888888888889,557.0,263.0,820.0,1035.0,495.0,1530.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,1442.7272727272727,1613.0,1141.0,398.0,1553.58,1383.63
2020,1,경북,승용,사업용,80,0,4.741666666666666,399.3611111111111,227.88888888888889,557.0,263.0,820.0,1035.0,495.0,1530.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,1442.7272727272727,1613.0,1141.0,398.0,1553.58,1383.63
2020,1,경북,화물,계,6,0,2.725,149.25,202.5,557.0,263.0,820.0,1035.0,495.0,1530.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,2422.7272727272725,1408.0,1345.0,111.0,1553.58,1383.63
2020,1,경북,화물,비사업용,6,0,2.725,149.25,202.5,557.0,263.0,820.0,1035.0,495.0,1530.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,2422.7272727272725,1408.0,1345.0,111.0,1553.58,1383.63
2020,1,경북,화물,사업용,0,0,2.725,149.25,202.5,557.0,263.0,820.0,1035.0,495.0,1530.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428573,22.0,34.0,100.36,4.2,1.25,4924,2422.7272727272725,1408.0,1345.0,111.0,1553.58,1383.63
2020,1,광주,승용,계,2438,-15,4.741666666666666,399.3611111111111,227.88888888888889,341.0,56.0,397.0,731.0,122.0,853.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,1400.0,503.0,507.0,0.0,1557.4,1380.82
2020,1,광주,승용,비사업용,2333,-3,4.741666666666666,399.3611111111111,227.88888888888889,341.0,56.0,397.0,731.0,122.0,853.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,1400.0,503.0,507.0,0.0,1557.4,1380.82
2020,1,광주,승용,사업용,105,-12,4.741666666666666,399.3611111111111,227.88888888888889,341.0,56.0,397.0,731.0,122.0,853.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,1400.0,503.0,507.0,0.0,1557.4,1380.82
2020,1,광주,화물,계,30,30,2.725,149.25,202.5,341.0,56.0,397.0,731.0,122.0,853.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,2400.0,180.0,179.0,1.0,1557.4,1380.82
2020,1,광주,화물,비사업용,24,24,2.725,149.25,202.5,341.0,56.0,397.0,731.0,122.0,853.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,2400.0,180.0,179.0,1.0,1557.4,1380.82
2020,1,광주,화물,사업용,6,6,2.725,149.25,202.5,341.0,56.0,397.0,731.0,122.0,853.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,4.6,9.0,1.2,74.9,27.0,36.0,100.22,3.7,1.25,6079,2400.0,180.0,179.0,1.0,1557.4,1380.82
2020,1,대구,승용,계,10799,-39,4.741666666666666,399.3611111111111,227.88888888888889,402.0,144.0,546.0,908.0,249.0,1157.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,1320.0,909.0,935.0,0.0,1544.7,1374.25
2020,1,대구,승용,비사업용,8747,-66,4.741666666666666,399.3611111111111,227.88888888888889,402.0,144.0,546.0,908.0,249.0,1157.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,1320.0,909.0,935.0,0.0,1544.7,1374.25
2020,1,대구,승용,사업용,2052,27,4.741666666666666,399.3611111111111,227.88888888888889,402.0,144.0,546.0,908.0,249.0,1157.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,1320.0,909.0,935.0,0.0,1544.7,1374.25
2020,1,대구,화물,계,465,0,2.725,149.25,202.5,402.0,144.0,546.0,908.0,249.0,1157.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,2700.0,729.0,729.0,0.0,1544.7,1374.25
2020,1,대구,화물,비사업용,453,0,2.725,149.25,202.5,402.0,144.0,546.0,908.0,249.0,1157.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,2700.0,729.0,729.0,0.0,1544.7,1374.25
2020,1,대구,화물,사업용,12,0,2.725,149.25,202.5,402.0,144.0,546.0,908.0,249.0,1157.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,3.8,8.4,0.1,70.4,26.0,37.0,100.1,3.9,1.25,5324,2700.0,729.0,729.0,0.0,1544.7,1374.25
2020,1,대전,승용,계,2578,35,4.741666666666666,399.3611111111111,227.88888888888889,222.0,51.0,273.0,595.0,128.0,723.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,1520.0,1227.0,1291.0,0.0,1568.32,1398.58
2020,1,대전,승용,비사업용,2323,35,4.741666666666666,399.3611111111111,227.88888888888889,222.0,51.0,273.0,595.0,128.0,723.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,1520.0,1227.0,1291.0,0.0,1568.32,1398.58
2020,1,대전,승용,사업용,255,0,4.741666666666666,399.3611111111111,227.88888888888889,222.0,51.0,273.0,595.0,128.0,723.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,1520.0,1227.0,1291.0,0.0,1568.32,1398.58
2020,1,대전,화물,계,32,28,2.725,149.25,202.5,222.0,51.0,273.0,595.0,128.0,723.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,2600.0,666.0,665.0,1.0,1568.32,1398.58
2020,1,대전,화물,비사업용,30,26,2.725,149.25,202.5,222.0,51.0,273.0,595.0,128.0,723.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,2600.0,666.0,665.0,1.0,1568.32,1398.58
2020,1,대전,화물,사업용,2,2,2.725,149.25,202.5,222.0,51.0,273.0,595.0,128.0,723.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.7,7.8,-1.2,78.5,25.0,41.0,100.14,5.1,1.25,5765,2600.0,666.0,665.0,1.0,1568.32,1398.58
2020,1,부산,승용,계,3096,6,4.741666666666666,399.3611111111111,227.88888888888889,448.0,48.0,496.0,1294.0,110.0,1404.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,1320.0,830.0,883.0,0.0,1545.59,1378.54
2020,1,부산,승용,비사업용,2422,5,4.741666666666666,399.3611111111111,227.88888888888889,448.0,48.0,496.0,1294.0,110.0,1404.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,1320.0,830.0,883.0,0.0,1545.59,1378.54
2020,1,부산,승용,사업용,674,1,4.741666666666666,399.3611111111111,227.88888888888889,448.0,48.0,496.0,1294.0,110.0,1404.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,1320.0,830.0,883.0,0.0,1545.59,1378.54
2020,1,부산,화물,계,1,0,2.725,149.25,202.5,448.0,48.0,496.0,1294.0,110.0,1404.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,2300.0,731.0,759.0,0.0,1545.59,1378.54
