시도,시군구,법정동,년도,월,전체호수,전력사용량
경기도,수원시 팔달구,신풍동,2024,12,6,1426
경기도,수원시 팔달구,영동,2024,01,5호미만제거,
경기도,수원시 팔달구,영동,2024,02,5호미만제거,
경기도,수원시 팔달구,영동,2024,03,5호미만제거,
경기도,수원시 팔달구,영동,2024,04,5호미만제거,
경기도,수원시 팔달구,영동,2024,05,5호미만제거,
경기도,수원시 팔달구,영동,2024,06,5호미만제거,
경기도,수원시 팔달구,영동,2024,07,5호미만제거,
경기도,수원시 팔달구,영동,2024,08,5호미만제거,
경기도,수원시 팔달구,영동,2024,09,5호미만제거,
경기도,수원시 팔달구,영동,2024,10,5호미만제거,
경기도,수원시 팔달구,영동,2024,11,5호미만제거,
경기도,수원시 팔달구,영동,2024,12,5호미만제거,
경기도,수원시 팔달구,우만동,2024,01,179,37080
경기도,수원시 팔달구,우만동,2024,02,179,29919
경기도,수원시 팔달구,우만동,2024,03,179,20263
경기도,수원시 팔달구,우만동,2024,04,180,12574
경기도,수원시 팔달구,우만동,2024,05,180,8229
경기도,수원시 팔달구,우만동,2024,06,180,7644
경기도,수원시 팔달구,우만동,2024,07,181,18064
경기도,수원시 팔달구,우만동,2024,08,182,40790
경기도,수원시 팔달구,우만동,2024,09,182,39245
경기도,수원시 팔달구,우만동,2024,10,181,16956
경기도,수원시 팔달구,우만동,2024,11,182,16657
경기도,수원시 팔달구,우만동,2024,12,182,27674
경기도,수원시 팔달구,인계동,2024,01,78,68630
경기도,수원시 팔달구,인계동,2024,02,78,60411
경기도,수원시 팔달구,인계동,2024,03,78,46848
경기도,수원시 팔달구,인계동,2024,04,77,28670
경기도,수원시 팔달구,인계동,2024,05,77,24000
경기도,수원시 팔달구,인계동,2024,06,77,26126
경기도,수원시 팔달구,인계동,2024,07,78,40487
경기도,수원시 팔달구,인계동,2024,08,78,62866
경기도,수원시 팔달구,인계동,2024,09,79,61763
경기도,수원시 팔달구,인계동,2024,10,79,41712
경기도,수원시 팔달구,인계동,2024,11,80,33957
경기도,수원시 팔달구,인계동,2024,12,80,44479
경기도,수원시 팔달구,장안동,2024,01,12,10481
경기도,수원시 팔달구,장안동,2024,02,12,9818
경기도,수원시 팔달구,장안동,2024,03,12,9150
경기도,수원시 팔달구,장안동,2024,04,11,3737
경기도,수원시 팔달구,장안동,2024,05,12,8299
경기도,수원시 팔달구,장안동,2024,06,12,7339
경기도,수원시 팔달구,장안동,2024,07,12,11365
경기도,수원시 팔달구,장안동,2024,08,12,15042
경기도,수원시 팔달구,장안동,2024,09,12,16961
경기도,수원시 팔달구,장안동,2024,10,12,13130
경기도,수원시 팔달구,장안동,2024,11,12,8409
경기도,수원시 팔달구,장안동,2024,12,12,7722
경기도,수원시 팔달구,중동,2024,01,5호미만제거,
경기도,수원시 팔달구,중동,2024,02,5호미만제거,
경기도,수원시 팔달구,중동,2024,03,5호미만제거,
경기도,수원시 팔달구,중동,2024,04,5호미만제거,
경기도,수원시 팔달구,중동,2024,05,5호미만제거,
경기도,수원시 팔달구,중동,2024,06,5호미만제거,
경기도,수원시 팔달구,중동,2024,07,5호미만제거,
경기도,수원시 팔달구,중동,2024,08,5호미만제거,
경기도,수원시 팔달구,중동,2024,09,5호미만제거,
경기도,수원시 팔달구,중동,2024,10,5호미만제거,
경기도,수원시 팔달구,중동,2024,11,5호미만제거,
경기도,수원시 팔달구,중동,2024,12,5호미만제거,
경기도,수원시 팔달구,지동,2024,01,88,15553
경기도,수원시 팔달구,지동,2024,02,88,12077
경기도,수원시 팔달구,지동,2024,03,88,8331
경기도,수원시 팔달구,지동,2024,04,87,4433
경기도,수원시 팔달구,지동,2024,05,87,2810
경기도,수원시 팔달구,지동,2024,06,87,2892
경기도,수원시 팔달구,지동,2024,07,87,6593
경기도,수원시 팔달구,지동,2024,08,89,16751
경기도,수원시 팔달구,지동,2024,09,90,18788
경기도,수원시 팔달구,지동,2024,10,90,9305
경기도,수원시 팔달구,지동,2024,11,91,7021
경기도,수원시 팔달구,지동,2024,12,91,11246
경기도,수원시 팔달구,팔달로1가,2024,01,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,02,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,03,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,04,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,05,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,06,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,07,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,08,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,09,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,10,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,11,5호미만제거,
경기도,수원시 팔달구,팔달로1가,2024,12,5호미만제거,
경기도,수원시 팔달구,팔달로2가,2024,01,7,13065
경기도,수원시 팔달구,팔달로2가,2024,02,7,11925
경기도,수원시 팔달구,팔달로2가,2024,03,7,9370
경기도,수원시 팔달구,팔달로2가,2024,04,7,7150
경기도,수원시 팔달구,팔달로2가,2024,05,7,6006
경기도,수원시 팔달구,팔달로2가,2024,06,7,6483
경기도,수원시 팔달구,팔달로2가,2024,07,7,10738
경기도,수원시 팔달구,팔달로2가,2024,08,7,16035
경기도,수원시 팔달구,팔달로2가,2024,09,7,14823
경기도,수원시 팔달구,팔달로2가,2024,10,7,8938
경기도,수원시 팔달구,팔달로2가,2024,11,7,8069
경기도,수원시 팔달구,팔달로2가,2024,12,7,9898
경기도,수원시 팔달구,팔달로3가,2024,01,13,6670
경기도,수원시 팔달구,팔달로3가,2024,02,13,4278
경기도,수원시 팔달구,팔달로3가,2024,03,13,3060
경기도,수원시 팔달구,팔달로3가,2024,04,13,1754
경기도,수원시 팔달구,팔달로3가,2024,05,13,973
경기도,수원시 팔달구,팔달로3가,2024,06,13,789
경기도,수원시 팔달구,팔달로3가,2024,07,13,1748
경기도,수원시 팔달구,팔달로3가,2024,08,13,3652
경기도,수원시 팔달구,팔달로3가,2024,09,13,3257
경기도,수원시 팔달구,팔달로3가,2024,10,13,1853
경기도,수원시 팔달구,팔달로3가,2024,11,13,2133
경기도,수원시 팔달구,팔달로3가,2024,12,13,4742
경기도,수원시 팔달구,화서동,2024,01,148,42039
경기도,수원시 팔달구,화서동,2024,02,148,34265
경기도,수원시 팔달구,화서동,2024,03,148,26653
경기도,수원시 팔달구,화서동,2024,04,148,12913
경기도,수원시 팔달구,화서동,2024,05,148,8498
경기도,수원시 팔달구,화서동,2024,06,148,7453
경기도,수원시 팔달구,화서동,2024,07,149,18317
경기도,수원시 팔달구,화서동,2024,08,153,42715
경기도,수원시 팔달구,화서동,2024,09,154,49471
경기도,수원시 팔달구,화서동,2024,10,155,28635
경기도,수원시 팔달구,화서동,2024,11,155,22321
경기도,수원시 팔달구,화서동,2024,12,155,33541
경기도,시흥시,거모동,2024,01,31,31129
경기도,시흥시,거모동,2024,02,31,30831
경기도,시흥시,거모동,2024,03,31,22569
경기도,시흥시,거모동,2024,04,30,17893
경기도,시흥시,거모동,2024,05,30,14090
경기도,시흥시,거모동,2024,06,30,13837
경기도,시흥시,거모동,2024,07,30,20970
경기도,시흥시,거모동,2024,08,30,29131
경기도,시흥시,거모동,2024,09,30,30366
경기도,시흥시,거모동,2024,10,30,20836
경기도,시흥시,거모동,2024,11,30,18880
경기도,시흥시,거모동,2024,12,30,22650
경기도,시흥시,계수동,2024,01,32,34897
경기도,시흥시,계수동,2024,02,32,36393
