년,월,차종,에너지소비효율,주행거리,충전지용량
2018,1,계,,,
2018,2,계,,,
2018,3,계,,,
2018,4,계,4.75,377.0,220.0
2018,5,계,4.75,377.0,220.0
2018,6,계,4.729,370.76,218.0
2018,7,계,4.635115207373272,314.69953917050697,194.4700460829493
2018,8,계,4.785714285714286,314.85714285714283,185.7142857142857
2018,9,계,4.785714285714286,314.85714285714283,185.7142857142857
2018,10,계,4.785714285714286,314.85714285714283,185.7142857142857
2018,11,계,4.739999999999999,325.06666666666666,192.66666666666663
2018,12,계,4.784193548387098,315.57096774193553,183.08064516129036
2019,1,계,4.790000000000001,314.3,182.0
2019,2,계,4.736964285714286,315.7035714285715,185.16071428571428
2019,3,계,4.693548387096775,318.61443932411674,188.55606758832565
2019,4,계,4.737782805429864,311.8519284636932,181.7347554406378
2019,5,계,4.725646933711451,271.6779510811769,156.76001417936902
2019,6,계,4.81565934065934,273.2324175824176,155.12527472527472
2019,7,계,4.856575682382133,285.57049402210697,158.06902774644712
2019,8,계,4.455913978494624,352.6976213750407,216.2984685565331
2019,9,계,4.355555555555555,373.1851851851852,233.03703703703704
2019,10,계,4.610645161290323,379.4763440860215,224.4768817204301
2019,11,계,4.727711538461539,379.04269230769233,218.75502136752132
2019,12,계,4.6388806694154745,363.0849543212871,221.0815789473684
2020,1,계,4.621428571428572,359.9761904761905,221.5
2020,2,계,4.635591133004926,360.31198686371096,221.16379310344828
2020,3,계,4.670274011983296,355.9038340495068,221.7028066936997
2020,4,계,4.660320512820513,360.0929487179487,225.9634615384616
2020,5,계,4.65780701754386,368.9481324278438,232.88508771929824
2020,6,계,4.657894736842104,356.44736842105266,227.67368421052632
2020,7,계,4.654111084162017,355.0225159673377,226.3505052954968
2020,8,계,4.915703651187522,300.6614675646934,184.3763913505849
2020,9,계,4.807761607761607,278.88565488565484,176.32986832986836
2020,10,계,4.049164487067713,199.0802092414996,168.1296788724208
2020,11,계,3.8802910052910056,176.0994708994709,165.94333333333333
2020,12,계,3.874375357124306,178.89564178484235,158.72840891382268
2021,1,계,3.888025946704067,179.0327840112202,157.34715988779803
2021,2,계,3.9791666666666665,174.875,156.69166666666666
2021,3,계,3.95124474053296,179.52051192145865,153.03930575035062
2021,4,계,4.132142857142858,183.4642857142857,143.55714285714285
2021,5,계,4.22363215837844,218.96947769742653,149.1285443209542
2021,6,계,4.293744623655914,242.34946236559145,152.78783333333334
2021,7,계,4.470472851132038,272.6073265210713,150.3489360849529
2021,8,계,4.474308755760369,281.7826420890937,152.8947004608295
2021,9,계,4.57327977977978,292.4922922922923,151.3001111111111
2021,10,계,4.717777777777778,318.8888888888889,142.02666666666667
2021,11,계,4.761741079494128,330.4358683378501,142.74774796747968
2021,12,계,4.685416666666666,332.8125,151.98333333333335
2022,1,계,4.622144901144642,337.512170069207,157.38430536973726
2022,2,계,4.57258064516129,343.1935483870968,159.86612903225813
2022,3,계,4.5168625653584105,343.48843436490034,163.4173324719547
2022,4,계,4.485172839506173,344.32007201646087,160.31946347736627
2022,5,계,4.469513537370945,339.83670047394395,159.2782181951711
2022,6,계,4.416145871006632,338.41851115129595,159.82150572634117
2022,7,계,4.280979689366785,330.9653683791318,169.76576821983272
2022,8,계,4.2809276772562175,335.81637997629707,172.82803011328463
2022,9,계,4.352277288788296,336.9595785291704,169.7583295204855
2022,10,계,4.376076850094877,331.7411290322581,174.40660945316543
2022,11,계,4.36792695473251,334.0892489711934,175.91726056864945
2022,12,계,4.342560559624609,337.7377495541357,179.446162969889
2023,1,계,4.3360966863814765,334.36717216209195,179.6247238063465
2023,2,계,4.323772657871041,334.6172238969581,182.397867811142
2023,3,계,4.291690066916263,334.7636403438739,186.4094611518865
2023,4,계,4.2254121948035,334.346100535318,196.90009037733387
2023,5,계,4.200528112087252,336.23707148639943,199.44581115858
2023,6,계,4.19791277258567,364.928660436137,205.77658878504675
2023,7,계,4.229147900182593,369.9619273686346,205.57461107729765
2023,8,계,4.2325184094256265,368.588880706922,205.6386666825028
2023,9,계,4.17503878696911,371.03544414401154,211.3137235131263
2023,10,계,4.149528168635153,380.1780818692997,215.1762328822406
2023,11,계,4.166455550190461,390.860622887494,220.57890310638984
2023,12,계,4.207184811386437,389.347969045696,216.65651248384037
2024,1,계,4.212191699103695,393.156448630188,218.0761181602612
2024,2,계,4.230659245619909,390.6636745340922,216.1737452572257
2024,3,계,4.302555398321166,388.2812779403724,210.97939265536723
2024,4,계,4.317941384180791,388.2619985875706,209.05270903954803
2024,5,계,4.335760627103679,385.2170661028089,203.02713350350865
2024,6,계,4.374446450154206,369.2189774006001,195.31283516044917
2024,7,계,4.400817002700356,365.2718321189489,190.2706117557057
2024,8,계,4.394767328780024,370.5018125638336,183.98927028029144
2024,9,계,4.350445684523809,382.9958035714286,182.88472951212083
2024,10,계,4.35040969358881,386.7516573692296,179.83183907742148
2024,11,계,4.371027727291087,378.7285032715376,171.66763565185082
2024,12,계,4.3773936967349,384.9152863117693,172.59959098403567
