년도,월,지역,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수
2023,10,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,11,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,12,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2024,1,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,2,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,3,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,4,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,5,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,6,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,7,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,8,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,9,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,10,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,11,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2024,12,경남,5502.0,903.0,6405.0,18407.0,3047.0,21454.0
2019,1,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,2,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,3,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,4,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,5,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,6,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,7,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,8,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,9,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,10,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,11,경북,478.0,232.0,710.0,478.0,232.0,710.0
2019,12,경북,478.0,232.0,710.0,478.0,232.0,710.0
2020,1,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,2,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,3,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,4,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,5,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,6,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,7,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,8,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,9,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,10,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,11,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2020,12,경북,557.0,263.0,820.0,1035.0,495.0,1530.0
2021,1,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,2,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,3,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,4,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,5,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,6,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,7,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,8,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,9,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,10,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,11,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2021,12,경북,1170.0,412.0,1582.0,2205.0,907.0,3112.0
2022,1,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,2,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,3,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,4,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,5,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,6,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,7,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,8,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,9,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,10,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,11,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2022,12,경북,3463.0,518.0,3981.0,5668.0,1425.0,7093.0
2023,1,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,2,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,3,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,4,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,5,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,6,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,7,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,8,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,9,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,10,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,11,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2023,12,경북,3738.0,1192.0,4930.0,9406.0,2617.0,12023.0
2024,1,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,2,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,3,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,4,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,5,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,6,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,7,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,8,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,9,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,10,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,11,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2024,12,경북,4222.0,676.0,4898.0,13628.0,3293.0,16921.0
2019,1,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,2,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,3,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,4,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,5,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,6,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,7,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,8,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,9,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,10,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,11,광주,390.0,66.0,456.0,390.0,66.0,456.0
2019,12,광주,390.0,66.0,456.0,390.0,66.0,456.0
2020,1,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,2,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,3,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,4,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,5,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,6,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,7,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,8,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,9,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,10,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,11,광주,341.0,56.0,397.0,731.0,122.0,853.0
2020,12,광주,341.0,56.0,397.0,731.0,122.0,853.0
2021,1,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,2,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,3,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,4,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,5,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,6,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,7,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,8,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,9,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,10,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,11,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2021,12,광주,669.0,103.0,772.0,1400.0,225.0,1625.0
2022,1,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,2,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,3,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,4,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,5,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,6,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,7,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,8,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,9,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,10,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,11,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2022,12,광주,2450.0,160.0,2610.0,3850.0,385.0,4235.0
2023,1,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,2,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,3,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,4,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,5,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,6,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,7,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,8,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,9,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,10,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,11,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2023,12,광주,3000.0,276.0,3276.0,6850.0,661.0,7511.0
2024,1,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,2,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,3,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,4,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,5,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,6,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,7,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,8,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,9,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,10,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,11,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2024,12,광주,3920.0,295.0,4215.0,10770.0,956.0,11726.0
2019,1,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,2,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,3,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,4,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,5,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,6,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,7,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,8,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,9,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,10,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,11,대구,506.0,105.0,611.0,506.0,105.0,611.0
2019,12,대구,506.0,105.0,611.0,506.0,105.0,611.0
2020,1,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,2,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,3,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,4,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,5,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,6,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,7,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,8,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,9,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,10,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,11,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2020,12,대구,402.0,144.0,546.0,908.0,249.0,1157.0
2021,1,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
2021,2,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
2021,3,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
2021,4,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
2021,5,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
2021,6,대구,1552.0,119.0,1671.0,2460.0,368.0,2828.0
