년도,지역,차종,민간공고대수,출고대수,출고잔여대수
2023,세종,승용,620.0,735.0,0.0
2023,세종,화물,100.0,99.0,1.0
2023,울산,승용,1494.0,1491.0,3.0
2023,울산,화물,961.0,960.0,1.0
2023,인천,승용,8054.0,4401.0,3653.0
2023,인천,화물,2717.0,2355.0,362.0
2023,전남,승용,3416.0,3062.0,423.0
2023,전남,화물,2099.0,2137.0,164.0
2023,전북,승용,3520.0,4194.0,99.0
2023,전북,화물,3036.0,2682.0,397.0
2023,제주,승용,4000.0,3412.0,588.0
2023,제주,화물,2200.0,1570.0,630.0
2023,충남,승용,4668.0,4182.0,626.0
2023,충남,화물,3148.0,2900.0,387.0
2023,충북,승용,3945.0,3262.0,683.0
2023,충북,화물,2517.0,2029.0,524.0
2024,강원,승용,3292.0,2512.0,784.0
2024,강원,화물,1892.0,600.0,1292.0
2024,경기,승용,29406.0,24541.0,5719.0
2024,경기,화물,8006.0,4216.0,3943.0
2024,경남,승용,5409.0,5450.0,536.0
2024,경남,화물,2923.0,1983.0,1015.0
2024,경북,승용,4359.0,4811.0,371.0
2024,경북,화물,3653.0,1791.0,1897.0
2024,공단,승용,22460.0,24056.0,0.0
2024,공단,화물,900.0,890.0,10.0
2024,광주,승용,2075.0,2086.0,0.0
2024,광주,화물,280.0,257.0,23.0
2024,대구,승용,3684.0,3724.0,0.0
2024,대구,화물,718.0,669.0,49.0
2024,대전,승용,2605.0,2655.0,0.0
2024,대전,화물,400.0,441.0,0.0
2024,부산,승용,4940.0,4398.0,542.0
2024,부산,화물,2100.0,745.0,1355.0
2024,서울,승용,11800.0,9354.0,2446.0
2024,서울,화물,2000.0,799.0,1201.0
2024,세종,승용,100.0,187.0,0.0
2024,세종,화물,100.0,78.0,22.0
2024,울산,승용,1435.0,1477.0,0.0
2024,울산,화물,235.0,245.0,0.0
2024,인천,승용,4695.0,4780.0,0.0
2024,인천,화물,722.0,725.0,0.0
2024,전남,승용,3151.0,3108.0,297.0
2024,전남,화물,2268.0,1252.0,1039.0
2024,전북,승용,4008.0,3819.0,448.0
2024,전북,화물,2132.0,1084.0,1119.0
2024,제주,승용,4000.0,2858.0,1142.0
2024,제주,화물,2300.0,1150.0,1150.0
2024,충남,승용,4131.0,4433.0,143.0
2024,충남,화물,2672.0,2141.0,670.0
2024,충북,승용,4888.0,4729.0,544.0
2024,충북,화물,2072.0,922.0,1189.0
