년도,월,지역,차종,용도,연료,등록수,순증가량
2020,01,서울,승합,계,하이브리드,52,0
2020,01,서울,승합,비사업용,하이브리드,1,0
2020,01,서울,승합,사업용,하이브리드,51,0
2020,01,서울,특수,계,하이브리드,0,0
2020,01,서울,특수,비사업용,하이브리드,0,0
2020,01,서울,특수,사업용,하이브리드,0,0
2020,01,서울,화물,계,하이브리드,0,0
2020,01,서울,화물,비사업용,하이브리드,0,0
2020,01,서울,화물,사업용,하이브리드,0,0
2020,01,세종,소계,계,하이브리드,5622,134
2020,01,세종,소계,비사업용,하이브리드,5593,134
2020,01,세종,소계,사업용,하이브리드,29,0
2020,01,세종,승용,계,하이브리드,5595,134
2020,01,세종,승용,비사업용,하이브리드,5592,134
2020,01,세종,승용,사업용,하이브리드,3,0
2020,01,세종,승합,계,하이브리드,27,0
2020,01,세종,승합,비사업용,하이브리드,1,0
2020,01,세종,승합,사업용,하이브리드,26,0
2020,01,세종,특수,계,하이브리드,0,0
2020,01,세종,특수,비사업용,하이브리드,0,0
2020,01,세종,특수,사업용,하이브리드,0,0
2020,01,세종,화물,계,하이브리드,0,0
2020,01,세종,화물,비사업용,하이브리드,0,0
2020,01,세종,화물,사업용,하이브리드,0,0
2020,01,울산,소계,계,하이브리드,10598,166
2020,01,울산,소계,비사업용,하이브리드,10526,165
2020,01,울산,소계,사업용,하이브리드,72,1
2020,01,울산,승용,계,하이브리드,10552,166
2020,01,울산,승용,비사업용,하이브리드,10526,165
2020,01,울산,승용,사업용,하이브리드,26,1
2020,01,울산,승합,계,하이브리드,46,0
2020,01,울산,승합,비사업용,하이브리드,0,0
2020,01,울산,승합,사업용,하이브리드,46,0
2020,01,울산,특수,계,하이브리드,0,0
2020,01,울산,특수,비사업용,하이브리드,0,0
2020,01,울산,특수,사업용,하이브리드,0,0
2020,01,울산,화물,계,하이브리드,0,0
2020,01,울산,화물,비사업용,하이브리드,0,0
2020,01,울산,화물,사업용,하이브리드,0,0
2020,01,인천,소계,계,하이브리드,40870,671
2020,01,인천,소계,비사업용,하이브리드,30016,346
2020,01,인천,소계,사업용,하이브리드,10854,325
2020,01,인천,승용,계,하이브리드,40827,671
