년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량
2021,05,소계,98349372,100544,58128,3540,3058332,69156,46313632,128400,39745752,-125260
2021,05,승용,80386772,148952,57704,3524,3056888,69152,46211712,127524,23419256,-64208
2021,05,승합,3069400,-14660,424,16,1332,0,20632,284,2586600,-14388
2021,05,특수,444492,3668,0,0,0,0,356,8,419736,2076
2021,05,화물,14448708,-37416,0,0,112,4,80932,584,13320160,-48740
2021,06,소계,98569004,219632,60900,2772,3140572,82240,46455108,141476,39688772,-56980
2021,06,승용,80607996,221224,60476,2772,3139108,82220,46352224,140512,23380700,-38556
2021,06,승합,3057776,-11624,424,0,1332,0,20664,32,2575808,-10792
2021,06,특수,449176,4684,0,0,4,4,368,12,422540,2804
2021,06,화물,14454056,5348,0,0,128,16,81852,920,13309724,-10436
2021,07,소계,98814088,245084,63060,2160,3227232,86660,46593600,138492,39681752,-7020
2021,07,승용,80828556,220560,62636,2160,3225732,86624,46488380,136156,23368480,-12220
2021,07,승합,3049100,-8676,424,0,1332,0,21016,352,2567992,-7816
2021,07,특수,454148,4972,0,0,4,0,372,4,425432,2892
2021,07,화물,14482284,28228,0,0,164,36,83832,1980,13319848,10124
2021,08,소계,98964532,150444,64824,1764,3300436,73204,46666452,72852,39657772,-23980
2021,08,승용,80972968,144412,64392,1756,3298916,73184,46558148,69768,23353652,-14828
2021,08,승합,3038264,-10836,432,8,1332,0,21084,68,2558680,-9312
2021,08,특수,458368,4220,0,0,4,0,380,8,428168,2736
2021,08,화물,14494932,12648,0,0,184,20,86840,3008,13317272,-2576
2021,09,소계,99112016,147484,68304,3480,3378252,77816,46734080,67628,39619656,-38116
2021,09,승용,81115948,142980,67852,3460,3376728,77812,46622452,64304,23327380,-26272
2021,09,승합,3028144,-10120,452,20,1324,-8,21108,24,2549792,-8888
2021,09,특수,462172,3804,0,0,4,0,396,16,430476,2308
2021,09,화물,14505752,10820,0,0,196,12,90124,3284,13312008,-5264
2021,10,소계,99242548,130532,72272,3968,3462124,83872,46812948,78868,39550352,-69304
2021,10,승용,81257960,142012,71812,3960,3460592,83864,46699776,77324,23285800,-41580
2021,10,승합,3017272,-10872,460,8,1324,0,21320,212,2540524,-9268
2021,10,특수,465984,3812,0,0,4,0,408,12,432684,2208
2021,10,화물,14501332,-4420,0,0,204,8,91444,1320,13291344,-20664
2021,11,소계,99445908,203360,76016,3744,3546844,84720,46929140,116192,39510008,-40344
2021,11,승용,81452008,194048,75504,3692,3545304,84712,46815316,115540,23256708,-29092
2021,11,승합,3008248,-9024,512,52,1320,-4,21340,20,2531700,-8824
2021,11,특수,469864,3880,0,0,4,0,408,0,434900,2216
2021,11,화물,14515788,14456,0,0,216,12,92076,632,13286700,-4644
2021,12,소계,99644404,198496,77616,1600,3632960,86116,47038260,109120,39487804,-22204
2021,12,승용,81642592,190584,77080,1576,3631412,86108,46923284,107968,23243004,-13704
2021,12,승합,2999872,-8376,516,4,1308,-12,21292,-48,2522668,-9032
2021,12,특수,474040,4176,0,0,4,0,420,12,437500,2600
2021,12,화물,14527900,12112,20,20,236,20,93264,1188,13284632,-2068
2022,01,소계,99882648,238244,78452,836,3701292,68332,47175868,137608,39520212,32408
2022,01,승용,81848048,205456,77904,824,3699724,68312,47059240,135956,23252028,9024
2022,01,승합,2991908,-7964,528,12,1308,0,21292,0,2514452,-8216
2022,01,특수,478392,4352,0,0,4,0,436,16,440704,3204
2022,01,화물,14564300,36400,20,0,256,20,94900,1636,13313028,28396
2022,02,소계,100061164,178516,81180,2728,3777548,76256,47252372,76504,39525016,4804
2022,02,승용,81995944,147896,80632,2728,3775960,76236,47133652,74412,23245556,-6472
2022,02,승합,2984032,-7876,528,0,1308,0,21384,92,2507296,-7156
2022,02,특수,482060,3668,0,0,4,0,440,4,443296,2592
2022,02,화물,14599128,34828,20,0,276,20,96896,1996,13328868,15840
2022,03,소계,100280720,219556,82732,1552,3875820,98272,47363388,111016,39479936,-45080
2022,03,승용,82201164,205220,82112,1480,3874220,98260,47243120,109468,23208572,-36984
2022,03,승합,2971408,-12624,600,72,1308,0,21584,200,2495476,-11820
2022,03,특수,486512,4452,0,0,4,0,456,16,446536,3240
2022,03,화물,14621636,22508,20,0,288,12,98228,1332,13329352,484
2022,04,소계,100483864,203144,87568,4836,3975200,99380,47491532,128144,39405680,-74256
2022,04,승용,82405964,204800,86920,4808,3973644,99424,47370444,127324,23158228,-50344
2022,04,승합,2957696,-13712,628,28,1252,-56,21788,204,2482000,-13476
2022,04,특수,490416,3904,0,0,4,0,480,24,449124,2588
2022,04,화물,14629788,8152,20,0,300,12,98820,592,13316328,-13024
2022,05,소계,100669636,185772,92516,4948,4075480,100280,47602160,110628,39330772,-74908
2022,05,승용,82593916,187952,91832,4912,4073916,100272,47479616,109172,23107656,-50572
2022,05,승합,2945896,-11800,664,36,1252,0,22068,280,2469792,-12208
2022,05,특수,494408,3992,0,0,4,0,532,52,451628,2504
2022,05,화물,14635416,5628,20,0,308,8,99944,1124,13301696,-14632
2022,06,소계,100862768,193132,96476,3960,4166948,91468,47709864,107704,39280196,-50576
2022,06,승용,82780272,186356,95732,3900,4165372,91456,47586160,106544,23067856,-39800
2022,06,승합,2938948,-6948,724,60,1248,-4,22276,208,2462004,-7788
2022,06,특수,498340,3932,0,0,4,0,540,8,454328,2700
2022,06,화물,14645208,9792,20,0,324,16,100888,944,13296008,-5688
2022,07,소계,101119160,256392,98748,2272,4263364,96416,47834576,124712,39258256,-21940
2022,07,승용,83002368,222096,97968,2236,4261780,96408,47709464,123304,23034128,-33728
2022,07,승합,2932336,-6612,760,36,1244,-4,22552,276,2454724,-7280
2022,07,특수,502904,4564,0,0,4,0,568,28,457504,3176
2022,07,화물,14681552,36344,20,0,336,12,101992,1104,13311900,15892
2022,08,소계,101259728,140568,102280,3532,4338788,75424,47898672,64096,39209032,-49224
2022,08,승용,83122008,119640,101500,3532,4337196,75416,47772212,62748,22984032,-50096
2022,08,승합,2925200,-7136,760,0,1244,0,22908,356,2446972,-7752
2022,08,특수,506692,3788,0,0,4,0,576,8,460192,2688
2022,08,화물,14705828,24276,20,0,344,8,102976,984,13317836,5936
2022,09,소계,101423752,164024,106876,4596,4414568,75780,47967820,69148,39155328,-53704
2022,09,승용,83263704,141696,106032,4532,4412980,75784,47840156,67944,22930676,-53356
2022,09,승합,2916156,-9044,824,64,1240,-4,23208,300,2438648,-8324
2022,09,특수,510520,3828,0,0,4,0,580,4,462836,2644
2022,09,화물,14733372,27544,20,0,344,0,103876,900,13323168,5332
2022,10,소계,101610536,186784,111480,4604,4486316,71748,48053900,86080,39118200,-37128
2022,10,승용,83428288,164584,110496,4464,4484724,71744,47925156,85000,22891788,-38888
2022,10,승합,2908448,-7708,964,140,1236,-4,23488,280,2431308,-7340
2022,10,특수,513648,3128,0,0,4,0,588,8,465068,2232
2022,10,화물,14760152,26780,20,0,352,8,104668,792,13330036,6868
2022,11,소계,101845444,234908,116128,4648,4583020,96704,48174120,120220,39079168,-39032
2022,11,승용,83647544,219256,115068,4572,4581440,96716,48043948,118792,22851408,-40380
2022,11,승합,2902364,-6084,1040,76,1224,-12,24048,560,2424504,-6804
2022,11,특수,517036,3388,0,0,4,0,608,20,467504,2436
2022,11,화물,14778500,18348,20,0,352,0,105516,848,13335752,5716
2022,12,소계,102012312,166868,118492,2364,4682028,99008,48276172,102052,39032692,-46476
2022,12,승용,83811036,163492,117348,2280,4680448,99008,48144616,100668,22805460,-45948
2022,12,승합,2895844,-6520,1124,84,1224,0,24504,456,2417168,-7336
2022,12,특수,520164,3128,0,0,4,0,628,20,469780,2276
2022,12,화물,14785268,6768,20,0,352,0,106424,908,13340284,4532
2023,01,소계,102224264,211952,118756,264,4774540,92512,48415240,139068,39030832,-1860
2023,01,승용,83997520,186484,117584,236,4772960,92512,48282852,138236,22777768,-27692
2023,01,승합,2889576,-6268,1152,28,1224,0,24720,216,2411240,-5928
2023,01,특수,522764,2600,0,0,4,0,652,24,471876,2096
2023,01,화물,14814404,29136,20,0,352,0,107016,592,13369948,29664
2023,02,소계,102386144,161880,122192,3436,4869100,94560,48506096,90856,38987344,-43488
2023,02,승용,84127876,130356,120972,3388,4867528,94568,48373008,90156,22725344,-52424
2023,02,승합,2883684,-5892,1200,48,1216,-8,24804,84,2405024,-6216
2023,02,특수,525056,2292,0,0,4,0,656,4,473768,1892
2023,02,화물,14849528,35124,20,0,352,0,107628,612,13383208,13260
2023,03,소계,102586456,200312,125904,3712,5001212,132112,48626532,120436,38875264,-112080
2023,03,승용,84306496,178620,124612,3640,4999640,132112,48491916,118908,22627864,-97480
2023,03,승합,2870700,-12984,1268,68,1216,0,25324,520,2390992,-14032
2023,03,특수,527912,2856,0,0,4,0,660,4,475992,2224
2023,03,화물,14881348,31820,24,4,352,0,108632,1004,13380416,-2792
2023,04,소계,102718728,132272,127220,1316,5112528,111316,48744752,118220,38738032,-137232
2023,04,승용,84459804,153308,125908,1296,5110952,111312,48608536,116620,22530556,-97308
2023,04,승합,2856224,-14476,1284,16,1216,0,26060,736,2375712,-15280
2023,04,특수,530368,2456,0,0,4,0,692,32,477724,1732
2023,04,화물,14872332,-9016,28,4,356,4,109464,832,13354040,-26376
2023,05,소계,102834648,115920,128672,1452,5241296,128768,48824916,80164,38616188,-121844
2023,05,승용,84589428,129624,127332,1424,5239720,128768,48687368,78832,22440968,-89588
2023,05,승합,2843496,-12728,1312,28,1216,0,26528,468,2362048,-13664
2023,05,특수,532968,2600,0,0,4,0,716,24,479708,1984
2023,05,화물,14868756,-3576,28,0,356,0,110304,840,13333464,-20576
2023,06,소계,103028804,194156,129936,1264,5387284,145988,48929336,104420,38525008,-91180
2023,06,승용,84786124,196696,128540,1208,5385708,145988,48790808,103440,22367808,-73160
2023,06,승합,2833936,-9560,1368,56,1212,-4,26800,272,2351240,-10808
2023,06,특수,536228,3260,0,0,4,0,744,28,482256,2548
2023,06,화물,14872516,3760,28,0,360,4,110984,680,13323704,-9760
2023,07,소계,103181344,152540,131584,1648,5508092,120808,48998760,69424,38455056,-69952
