년도,월,지역,연료,차종,용도,등록수,순증가량
2020,01,부산,총계,화물,사업용,33635,7
2020,01,서울,총계,소계,계,3127566,3409
2020,01,서울,총계,소계,비사업용,2920161,3622
2020,01,서울,총계,소계,사업용,207405,-213
2020,01,서울,총계,승용,계,2673913,3110
2020,01,서울,총계,승용,비사업용,2546856,3376
2020,01,서울,총계,승용,사업용,127057,-266
2020,01,서울,총계,승합,계,114005,-305
2020,01,서울,총계,승합,비사업용,96440,-255
2020,01,서울,총계,승합,사업용,17565,-50
2020,01,서울,총계,특수,계,8279,75
2020,01,서울,총계,특수,비사업용,3315,71
2020,01,서울,총계,특수,사업용,4964,4
2020,01,서울,총계,화물,계,331369,529
2020,01,서울,총계,화물,비사업용,273550,430
2020,01,서울,총계,화물,사업용,57819,99
2020,01,세종,총계,소계,계,164499,1160
2020,01,세종,총계,소계,비사업용,161702,1138
2020,01,세종,총계,소계,사업용,2797,22
2020,01,세종,총계,승용,계,143316,1051
2020,01,세종,총계,승용,비사업용,142707,1049
2020,01,세종,총계,승용,사업용,609,2
2020,01,세종,총계,승합,계,4463,24
2020,01,세종,총계,승합,비사업용,4030,10
2020,01,세종,총계,승합,사업용,433,14
2020,01,세종,총계,특수,계,377,-3
2020,01,세종,총계,특수,비사업용,217,0
2020,01,세종,총계,특수,사업용,160,-3
2020,01,세종,총계,화물,계,16343,88
2020,01,세종,총계,화물,비사업용,14748,79
2020,01,세종,총계,화물,사업용,1595,9
2020,01,울산,총계,소계,계,566595,956
2020,01,울산,총계,소계,비사업용,545235,1091
2020,01,울산,총계,소계,사업용,21360,-135
2020,01,울산,총계,승용,계,477313,904
2020,01,울산,총계,승용,비사업용,469359,1026
2020,01,울산,총계,승용,사업용,7954,-122
2020,01,울산,총계,승합,계,15031,-12
2020,01,울산,총계,승합,비사업용,13045,-2
2020,01,울산,총계,승합,사업용,1986,-10
2020,01,울산,총계,특수,계,2762,9
2020,01,울산,총계,특수,비사업용,635,4
2020,01,울산,총계,특수,사업용,2127,5
2020,01,울산,총계,화물,계,71489,55
2020,01,울산,총계,화물,비사업용,62196,63
2020,01,울산,총계,화물,사업용,9293,-8
2020,01,인천,총계,소계,계,1637440,2117
2020,01,인천,총계,소계,비사업용,1291757,2276
2020,01,인천,총계,소계,사업용,345683,-159
2020,01,인천,총계,승용,계,1385976,2127
2020,01,인천,총계,승용,비사업용,1088368,2257
2020,01,인천,총계,승용,사업용,297608,-130
2020,01,인천,총계,승합,계,51583,-173
2020,01,인천,총계,승합,비사업용,39178,-71
2020,01,인천,총계,승합,사업용,12405,-102
2020,01,인천,총계,특수,계,7135,39
2020,01,인천,총계,특수,비사업용,1953,31
2020,01,인천,총계,특수,사업용,5182,8
2020,01,인천,총계,화물,계,192746,124
2020,01,인천,총계,화물,비사업용,162258,59
2020,01,인천,총계,화물,사업용,30488,65
2020,01,전국,총계,소계,계,23730286,52920
2020,01,전국,총계,소계,비사업용,22044090,43431
2020,01,전국,총계,소계,사업용,1686196,9489
2020,01,전국,총계,승용,계,19224262,46745
2020,01,전국,총계,승용,비사업용,18143505,38438
2020,01,전국,총계,승용,사업용,1080757,8307
2020,01,전국,총계,승합,계,810769,-1030
2020,01,전국,총계,승합,비사업용,685422,-1086
2020,01,전국,총계,승합,사업용,125347,56
2020,01,전국,총계,특수,계,95978,514
2020,01,전국,총계,특수,비사업용,33210,300
2020,01,전국,총계,특수,사업용,62768,214
2020,01,전국,총계,화물,계,3599277,6691
2020,01,전국,총계,화물,비사업용,3181953,5779
2020,01,전국,총계,화물,사업용,417324,912
2020,01,전남,총계,소계,계,1060779,4540
2020,01,전남,총계,소계,비사업용,924867,1435
2020,01,전남,총계,소계,사업용,135912,3105
2020,01,전남,총계,승용,계,771066,4066
2020,01,전남,총계,승용,비사업용,667782,1015
2020,01,전남,총계,승용,사업용,103284,3051
2020,01,전남,총계,승합,계,39931,-19
2020,01,전남,총계,승합,비사업용,32054,-17
2020,01,전남,총계,승합,사업용,7877,-2
2020,01,전남,총계,특수,계,7052,44
