연월,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2018-01-01,,,,,,,,,
2018-02-01,,,,,,,,,
2018-03-01,,,,,,,,,
2018-04-01,4.75,377.0,220.0,,,,4.75,377.0,220.0
2018-05-01,4.75,377.0,220.0,,,,4.75,377.0,220.0
2018-06-01,4.729,370.76,218.0,,,,4.75,377.0,220.0
2018-07-01,4.635115207373272,314.69953917050697,194.4700460829493,,,,4.833870967741936,369.06451612903226,210.96774193548387
2018-08-01,4.785714285714286,314.85714285714283,185.71428571428572,,,,4.966666666666667,356.5,196.66666666666666
2018-09-01,4.785714285714286,314.85714285714283,185.71428571428572,,,,4.966666666666667,356.5,196.66666666666666
2018-10-01,4.785714285714286,314.85714285714283,185.71428571428572,,,,4.966666666666667,356.5,196.66666666666666
2018-11-01,4.739999999999999,325.06666666666666,192.66666666666666,,,,4.9006349206349205,364.9952380952381,203.77777777777777
2018-12-01,4.784193548387098,315.57096774193553,183.08064516129033,,,,4.906707629288275,343.963133640553,190.25089605734766
2019-01-01,4.790000000000001,314.3,182.0,,,,4.911111111111112,342.0,188.88888888888889
2019-02-01,4.736964285714286,315.7035714285715,185.16071428571428,,,,4.846176046176047,341.9123376623376,191.93434343434345
2019-03-01,4.693548387096775,318.61443932411674,188.55606758832565,,,,4.77581773065644,339.7254680803068,194.28332957365217
2019-04-01,4.737782805429864,311.8519284636932,181.7347554406378,2.3,84.0,86.0,4.86034188034188,334.2568142968143,187.93429681429683
2019-05-01,4.725646933711451,271.6779510811769,156.76001417936902,2.3,84.0,86.0,5.031451612903226,306.66129032258067,166.30645161290323
2019-06-01,4.81565934065934,273.2324175824176,155.12527472527472,2.3,84.0,86.0,5.108333333333333,304.5,163.5
