년도,월,지역,연료,차종,용도,등록수,순증가량
2020,01,세종,전기,특수,계,4,0
2020,01,세종,전기,특수,비사업용,4,0
2020,01,세종,전기,특수,사업용,0,0
2020,01,세종,전기,화물,계,0,0
2020,01,세종,전기,화물,비사업용,0,0
2020,01,세종,전기,화물,사업용,0,0
2020,01,울산,전기,소계,계,1441,-6
2020,01,울산,전기,소계,비사업용,1224,-6
2020,01,울산,전기,소계,사업용,217,0
2020,01,울산,전기,승용,계,1441,-6
2020,01,울산,전기,승용,비사업용,1224,-6
2020,01,울산,전기,승용,사업용,217,0
2020,01,울산,전기,승합,계,0,0
2020,01,울산,전기,승합,비사업용,0,0
2020,01,울산,전기,승합,사업용,0,0
2020,01,울산,전기,특수,계,0,0
2020,01,울산,전기,특수,비사업용,0,0
2020,01,울산,전기,특수,사업용,0,0
2020,01,울산,전기,화물,계,0,0
2020,01,울산,전기,화물,비사업용,0,0
2020,01,울산,전기,화물,사업용,0,0
2020,01,인천,전기,소계,계,2660,62
2020,01,인천,전기,소계,비사업용,2491,52
2020,01,인천,전기,소계,사업용,169,10
2020,01,인천,전기,승용,계,2591,21
2020,01,인천,전기,승용,비사업용,2458,21
2020,01,인천,전기,승용,사업용,133,0
2020,01,인천,전기,승합,계,26,0
2020,01,인천,전기,승합,비사업용,1,0
2020,01,인천,전기,승합,사업용,25,0
2020,01,인천,전기,특수,계,0,0
2020,01,인천,전기,특수,비사업용,0,0
2020,01,인천,전기,특수,사업용,0,0
2020,01,인천,전기,화물,계,43,41
2020,01,인천,전기,화물,비사업용,32,31
2020,01,인천,전기,화물,사업용,11,10
2020,01,전국,전기,소계,계,90701,783
2020,01,전국,전기,소계,비사업용,76081,615
2020,01,전국,전기,소계,사업용,14620,168
2020,01,전국,전기,승용,계,88249,323
2020,01,전국,전기,승용,비사업용,74553,253
2020,01,전국,전기,승용,사업용,13696,70
2020,01,전국,전기,승합,계,866,38
2020,01,전국,전기,승합,비사업용,30,2
2020,01,전국,전기,승합,사업용,836,36
2020,01,전국,전기,특수,계,25,1
2020,01,전국,전기,특수,비사업용,25,1
2020,01,전국,전기,특수,사업용,0,0
2020,01,전국,전기,화물,계,1561,421
2020,01,전국,전기,화물,비사업용,1473,359
2020,01,전국,전기,화물,사업용,88,62
2020,01,전남,전기,소계,계,3326,0
2020,01,전남,전기,소계,비사업용,3249,-9
2020,01,전남,전기,소계,사업용,77,9
2020,01,전남,전기,승용,계,3316,0
2020,01,전남,전기,승용,비사업용,3247,-9
2020,01,전남,전기,승용,사업용,69,9
2020,01,전남,전기,승합,계,8,0
2020,01,전남,전기,승합,비사업용,0,0
2020,01,전남,전기,승합,사업용,8,0
2020,01,전남,전기,특수,계,1,0
2020,01,전남,전기,특수,비사업용,1,0
2020,01,전남,전기,특수,사업용,0,0
2020,01,전남,전기,화물,계,1,0
2020,01,전남,전기,화물,비사업용,1,0
2020,01,전남,전기,화물,사업용,0,0
2020,01,전북,전기,소계,계,1872,31
2020,01,전북,전기,소계,비사업용,1866,30
2020,01,전북,전기,소계,사업용,6,1
2020,01,전북,전기,승용,계,1851,16
2020,01,전북,전기,승용,비사업용,1847,16
2020,01,전북,전기,승용,사업용,4,0
2020,01,전북,전기,승합,계,6,0
2020,01,전북,전기,승합,비사업용,5,0
2020,01,전북,전기,승합,사업용,1,0
2020,01,전북,전기,특수,계,0,0
2020,01,전북,전기,특수,비사업용,0,0
2020,01,전북,전기,특수,사업용,0,0
2020,01,전북,전기,화물,계,15,15
2020,01,전북,전기,화물,비사업용,14,14
2020,01,전북,전기,화물,사업용,1,1
2020,01,제주,전기,소계,계,18307,129
2020,01,제주,전기,소계,비사업용,14906,138
2020,01,제주,전기,소계,사업용,3401,-9
2020,01,제주,전기,승용,계,18065,40
2020,01,제주,전기,승용,비사업용,14786,51
2020,01,제주,전기,승용,사업용,3279,-11
2020,01,제주,전기,승합,계,118,0
2020,01,제주,전기,승합,비사업용,0,0
2020,01,제주,전기,승합,사업용,118,0
2020,01,제주,전기,특수,계,1,1
2020,01,제주,전기,특수,비사업용,1,1
2020,01,제주,전기,특수,사업용,0,0
2020,01,제주,전기,화물,계,123,88
2020,01,제주,전기,화물,비사업용,119,86
2020,01,제주,전기,화물,사업용,4,2
2020,01,충남,전기,소계,계,2848,7
2020,01,충남,전기,소계,비사업용,2816,7
2020,01,충남,전기,소계,사업용,32,0
2020,01,충남,전기,승용,계,2825,6
2020,01,충남,전기,승용,비사업용,2812,6
2020,01,충남,전기,승용,사업용,13,0
2020,01,충남,전기,승합,계,19,0
2020,01,충남,전기,승합,비사업용,0,0
2020,01,충남,전기,승합,사업용,19,0
2020,01,충남,전기,특수,계,2,0
2020,01,충남,전기,특수,비사업용,2,0
2020,01,충남,전기,특수,사업용,0,0
2020,01,충남,전기,화물,계,2,1
2020,01,충남,전기,화물,비사업용,2,1
2020,01,충남,전기,화물,사업용,0,0
2020,01,충북,전기,소계,계,2427,15
2020,01,충북,전기,소계,비사업용,2385,13
2020,01,충북,전기,소계,사업용,42,2
2020,01,충북,전기,승용,계,2394,15
2020,01,충북,전기,승용,비사업용,2375,13
2020,01,충북,전기,승용,사업용,19,2
2020,01,충북,전기,승합,계,23,0
2020,01,충북,전기,승합,비사업용,0,0
2020,01,충북,전기,승합,사업용,23,0
2020,01,충북,전기,특수,계,0,0
2020,01,충북,전기,특수,비사업용,0,0
2020,01,충북,전기,특수,사업용,0,0
2020,01,충북,전기,화물,계,10,0
2020,01,충북,전기,화물,비사업용,10,0
2020,01,충북,전기,화물,사업용,0,0
2020,02,강원,전기,소계,계,2459,11
2020,02,강원,전기,소계,비사업용,2315,12
2020,02,강원,전기,소계,사업용,144,-1
2020,02,강원,전기,승용,계,2432,6
2020,02,강원,전기,승용,비사업용,2307,7
2020,02,강원,전기,승용,사업용,125,-1
2020,02,강원,전기,승합,계,20,0
2020,02,강원,전기,승합,비사업용,1,0
2020,02,강원,전기,승합,사업용,19,0
2020,02,강원,전기,특수,계,0,0
2020,02,강원,전기,특수,비사업용,0,0
2020,02,강원,전기,특수,사업용,0,0
2020,02,강원,전기,화물,계,7,5
2020,02,강원,전기,화물,비사업용,7,5
2020,02,강원,전기,화물,사업용,0,0
2020,02,경기,전기,소계,계,12510,701
2020,02,경기,전기,소계,비사업용,12006,666
2020,02,경기,전기,소계,사업용,504,35
2020,02,경기,전기,승용,계,12007,505
2020,02,경기,전기,승용,비사업용,11804,501
2020,02,경기,전기,승용,사업용,203,4
2020,02,경기,전기,승합,계,275,0
2020,02,경기,전기,승합,비사업용,11,0
2020,02,경기,전기,승합,사업용,264,0
2020,02,경기,전기,특수,계,12,0
2020,02,경기,전기,특수,비사업용,12,0
2020,02,경기,전기,특수,사업용,0,0
2020,02,경기,전기,화물,계,216,196
2020,02,경기,전기,화물,비사업용,179,165
2020,02,경기,전기,화물,사업용,37,31
2020,02,경남,전기,소계,계,3822,188
2020,02,경남,전기,소계,비사업용,3632,174
2020,02,경남,전기,소계,사업용,190,14
2020,02,경남,전기,승용,계,3711,156
2020,02,경남,전기,승용,비사업용,3595,143
2020,02,경남,전기,승용,사업용,116,13
2020,02,경남,전기,승합,계,73,0
2020,02,경남,전기,승합,비사업용,0,0
2020,02,경남,전기,승합,사업용,73,0
2020,02,경남,전기,특수,계,3,0
2020,02,경남,전기,특수,비사업용,3,0
2020,02,경남,전기,특수,사업용,0,0
2020,02,경남,전기,화물,계,35,32
2020,02,경남,전기,화물,비사업용,34,31
2020,02,경남,전기,화물,사업용,1,1
2020,02,경북,전기,소계,계,4161,90
2020,02,경북,전기,소계,비사업용,4072,85
2020,02,경북,전기,소계,사업용,89,5
2020,02,경북,전기,승용,계,4101,42
2020,02,경북,전기,승용,비사업용,4019,40
2020,02,경북,전기,승용,사업용,82,2
2020,02,경북,전기,승합,계,6,0
2020,02,경북,전기,승합,비사업용,2,0
2020,02,경북,전기,승합,사업용,4,0
2020,02,경북,전기,특수,계,0,0
2020,02,경북,전기,특수,비사업용,0,0
2020,02,경북,전기,특수,사업용,0,0
2020,02,경북,전기,화물,계,54,48
2020,02,경북,전기,화물,비사업용,51,45
2020,02,경북,전기,화물,사업용,3,3
2020,02,광주,전기,소계,계,2489,10
2020,02,광주,전기,소계,비사업용,2373,15
2020,02,광주,전기,소계,사업용,116,-5
2020,02,광주,전기,승용,계,2441,3
2020,02,광주,전기,승용,비사업용,2343,10
2020,02,광주,전기,승용,사업용,98,-7
2020,02,광주,전기,승합,계,11,0
2020,02,광주,전기,승합,비사업용,1,0
2020,02,광주,전기,승합,사업용,10,0
2020,02,광주,전기,특수,계,0,0
2020,02,광주,전기,특수,비사업용,0,0
2020,02,광주,전기,특수,사업용,0,0
2020,02,광주,전기,화물,계,37,7
2020,02,광주,전기,화물,비사업용,29,5
2020,02,광주,전기,화물,사업용,8,2
2020,02,대구,전기,소계,계,11275,1
2020,02,대구,전기,소계,비사업용,9236,36
2020,02,대구,전기,소계,사업용,2039,-35
2020,02,대구,전기,승용,계,10761,-38
2020,02,대구,전기,승용,비사업용,8745,-2
2020,02,대구,전기,승용,사업용,2016,-36
2020,02,대구,전기,승합,계,10,0
2020,02,대구,전기,승합,비사업용,0,0
2020,02,대구,전기,승합,사업용,10,0
2020,02,대구,전기,특수,계,0,0
2020,02,대구,전기,특수,비사업용,0,0
2020,02,대구,전기,특수,사업용,0,0
2020,02,대구,전기,화물,계,504,39
2020,02,대구,전기,화물,비사업용,491,38
2020,02,대구,전기,화물,사업용,13,1
2020,02,대전,전기,소계,계,2625,7
2020,02,대전,전기,소계,비사업용,2363,8
