날짜,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2023-09-20,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-21,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-22,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-23,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-24,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-25,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-26,4.1482758620689655,377.5402298850575,214.7471264367816,3.28,180.6,157.7,4.261038961038962,403.1168831168831,222.15584415584416
2023-09-27,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-09-28,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-09-29,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-09-30,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-01,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-02,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-03,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-04,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-05,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-06,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-07,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-08,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-09,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-10,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-11,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-12,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-13,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-14,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-15,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-16,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-17,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-18,4.143434343434343,380.5353535353535,215.80606060606064,3.28,180.6,157.7,4.240449438202247,403.0,222.3348314606742
2023-10-19,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-20,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
