연도,월,시도,휘발유가격,디젤가격
2016,2,전북,1342.17,1087.36
2016,2,전남,1352.03,1101.48
2016,2,경북,1332.61,1079.62
2016,2,경남,1336.52,1091.84
2016,2,제주,1367.6,1133.14
2016,2,세종,1362.64,1109.46
2016,2,전국,1722.7,1101.12
2016,3,서울,1428.65,1199.92
2016,3,부산,1338.16,1091.08
2016,3,대구,1332.89,1088.92
2016,3,인천,1344.39,1098.03
2016,3,광주,1330.25,1081.12
2016,3,대전,1341.31,1099.83
2016,3,울산,1327.02,1084.86
2016,3,경기,1356.57,1106.68
2016,3,강원,1349.12,1106.94
2016,3,충북,1354.2,1103.11
2016,3,충남,1357.74,1106.35
2016,3,전북,1342.99,1092.26
2016,3,전남,1347.87,1096.84
2016,3,경북,1332.3,1080.67
2016,3,경남,1334.61,1091.27
2016,3,제주,1396.02,1184.33
2016,3,세종,1357.67,1110.1
2016,3,전국,1718.84,1103.15
2016,4,서울,1436.77,1208.61
2016,4,부산,1352.91,1109.6
2016,4,대구,1340.73,1100.8
2016,4,인천,1351.82,1111.71
2016,4,광주,1341.3,1097.89
2016,4,대전,1351.48,1115.74
2016,4,울산,1343.32,1105.93
2016,4,경기,1365.98,1123.12
2016,4,강원,1361.2,1127.32
2016,4,충북,1365.29,1120.74
2016,4,충남,1369.11,1125.91
2016,4,전북,1353.87,1110.1
2016,4,전남,1359.99,1116.28
2016,4,경북,1347.34,1102.68
2016,4,경남,1348.79,1112.59
2016,4,제주,1415.83,1214.05
2016,4,세종,1366.15,1127.33
2016,4,전국,1720.5,1121.36
2016,5,서울,1483.25,1260.84
2016,5,부산,1385.02,1152.93
2016,5,대구,1378.44,1142.86
2016,5,인천,1388.45,1155.12
2016,5,광주,1371.71,1137.87
2016,5,대전,1388.69,1160.62
2016,5,울산,1386.2,1160.14
2016,5,경기,1397.35,1167.28
2016,5,강원,1386.01,1160.82
2016,5,충북,1386.79,1154.08
2016,5,충남,1389.49,1156.29
2016,5,전북,1372.03,1138.93
2016,5,전남,1375.84,1140.79
2016,5,경북,1370.47,1136.26
2016,5,경남,1370.9,1143.51
2016,5,제주,1459.23,1238.17
2016,5,세종,1392.54,1166.9
2016,5,전국,1748.59,1157.91
2016,6,서울,1538.04,1325.83
2016,6,부산,1432.21,1220.59
2016,6,대구,1430.33,1212.34
2016,6,인천,1444.69,1224.19
2016,6,광주,1423.88,1217.04
2016,6,대전,1439.3,1225.89
2016,6,울산,1432.57,1216.81
2016,6,경기,1448.43,1236.01
2016,6,강원,1436.49,1229.45
2016,6,충북,1431.75,1217.93
2016,6,충남,1434.75,1220.81
2016,6,전북,1418.23,1209.91
2016,6,전남,1422.52,1211.19
2016,6,경북,1420.06,1207.05
2016,6,경남,1418.75,1208.1
2016,6,제주,1496.38,1273.39
2016,6,세종,1438.95,1227.53
2016,6,전국,1784.94,1225.25
2016,7,서울,1538.92,1330.56
2016,7,부산,1424.76,1218.68
2016,7,대구,1425.21,1213.19
2016,7,인천,1443.78,1226.86
2016,7,광주,1417.35,1214.17
2016,7,대전,1435.49,1226.85
2016,7,울산,1430.63,1217.77
2016,7,경기,1446.24,1237.52
2016,7,강원,1439.68,1235.92
2016,7,충북,1433.33,1222.58
2016,7,충남,1437.82,1227.79
2016,7,전북,1417.03,1210.71
2016,7,전남,1425.06,1216.68
2016,7,경북,1419.49,1210.63
2016,7,경남,1420.81,1212.95
2016,7,제주,1487.7,1267.9
2016,7,세종,1445.75,1234.59
2016,7,전국,1779.01,1228.37
2016,8,서울,1525.73,1318.42
2016,8,부산,1399.15,1197.08
2016,8,대구,1394.2,1190.63
2016,8,인천,1419.9,1211.94
2016,8,광주,1383.79,1184.35
2016,8,대전,1402.94,1200.0
2016,8,울산,1410.49,1203.11
2016,8,경기,1416.89,1212.3
2016,8,강원,1416.64,1215.76
2016,8,충북,1408.5,1201.73
2016,8,충남,1413.53,1207.69
2016,8,전북,1392.05,1188.12
2016,8,전남,1402.14,1198.14
2016,8,경북,1392.94,1189.63
2016,8,경남,1399.6,1195.09
2016,8,제주,1446.09,1237.05
2016,8,세종,1426.96,1220.45
2016,8,전국,1759.43,1207.22
2016,9,서울,1521.95,1314.51
2016,9,부산,1398.92,1194.01
2016,9,대구,1388.73,1185.38
2016,9,인천,1413.62,1207.39
2016,9,광주,1382.6,1181.32
2016,9,대전,1407.45,1201.98
2016,9,울산,1404.72,1198.67
2016,9,경기,1414.9,1208.35
2016,9,강원,1412.53,1210.68
2016,9,충북,1406.32,1198.71
2016,9,충남,1409.97,1203.08
2016,9,전북,1390.13,1184.64
2016,9,전남,1395.52,1191.62
2016,9,경북,1387.07,1183.19
2016,9,경남,1392.89,1187.81
2016,9,제주,1457.13,1264.99
2016,9,세종,1423.84,1217.5
2016,9,전국,1760.52,1203.04
2016,10,서울,1527.36,1322.61
2016,10,부산,1407.03,1202.66
2016,10,대구,1397.15,1193.06
2016,10,인천,1421.7,1216.41
2016,10,광주,1391.81,1189.24
2016,10,대전,1417.64,1211.69
2016,10,울산,1411.22,1205.26
2016,10,경기,1423.71,1217.55
2016,10,강원,1420.5,1219.0
2016,10,충북,1416.05,1207.72
2016,10,충남,1417.14,1210.62
2016,10,전북,1398.72,1192.09
2016,10,전남,1404.28,1199.17
2016,10,경북,1395.82,1190.64
2016,10,경남,1397.35,1192.02
2016,10,제주,1492.63,1291.18
2016,10,세종,1428.2,1221.05
2016,10,전국,1767.54,1211.14
2016,11,서울,1528.42,1325.47
2016,11,부산,1416.29,1213.53
2016,11,대구,1405.93,1201.56
2016,11,인천,1425.9,1222.47
2016,11,광주,1405.08,1203.54
2016,11,대전,1426.05,1222.9
2016,11,울산,1422.54,1217.66
2016,11,경기,1432.41,1227.62
2016,11,강원,1431.61,1231.55
2016,11,충북,1428.22,1220.9
2016,11,충남,1427.78,1222.77
2016,11,전북,1409.24,1204.57
2016,11,전남,1418.76,1214.07
2016,11,경북,1409.92,1206.22
2016,11,경남,1407.57,1203.53
2016,11,제주,1507.42,1301.2
2016,11,세종,1440.81,1233.12
2016,11,전국,1769.91,1222.73
2016,12,서울,1561.99,1355.56
2016,12,부산,1446.84,1243.94
2016,12,대구,1444.04,1239.42
2016,12,인천,1458.78,1253.01
2016,12,광주,1440.46,1235.87
2016,12,대전,1462.55,1257.3
2016,12,울산,1447.61,1242.85
2016,12,경기,1462.67,1257.06
2016,12,강원,1453.73,1252.25
2016,12,충북,1450.16,1242.9
2016,12,충남,1452.74,1248.03
2016,12,전북,1438.39,1232.16
2016,12,전남,1442.75,1237.74
2016,12,경북,1435.04,1231.27
2016,12,경남,1434.28,1230.02
2016,12,제주,1521.33,1314.6
2016,12,세종,1462.96,1257.34
2016,12,전국,1794.37,1249.65
2017,1,서울,1612.63,1403.05
2017,1,부산,1503.47,1299.03
2017,1,대구,1495.03,1287.64
2017,1,인천,1515.93,1306.54
2017,1,광주,1490.55,1283.12
2017,1,대전,1509.95,1301.56
2017,1,울산,1500.25,1294.95
2017,1,경기,1518.34,1309.41
2017,1,강원,1506.24,1300.93
2017,1,충북,1502.13,1292.76
2017,1,충남,1504.97,1297.45
2017,1,전북,1488.66,1279.04
2017,1,전남,1492.86,1287.05
2017,1,경북,1486.32,1280.0
2017,1,경남,1489.87,1283.83
2017,1,제주,1598.67,1383.41
2017,1,세종,1510.44,1302.63
2017,1,전국,1837.95,1300.18
2017,2,서울,1613.06,1403.19
2017,2,부산,1511.0,1305.4
2017,2,대구,1501.06,1292.5
2017,2,인천,1518.29,1309.09
2017,2,광주,1497.98,1289.45
2017,2,대전,1514.52,1306.57
2017,2,울산,1509.4,1303.96
2017,2,경기,1523.83,1313.19
2017,2,강원,1517.27,1310.15
2017,2,충북,1514.54,1303.26
2017,2,충남,1515.32,1305.86
2017,2,전북,1500.24,1288.03
2017,2,전남,1504.43,1297.55
2017,2,경북,1499.14,1291.15
2017,2,경남,1500.23,1293.14
2017,2,제주,1601.8,1384.47
2017,2,세종,1520.56,1311.03
2017,2,전국,1842.81,1307.5
2017,3,서울,1594.77,1386.25
2017,3,부산,1493.63,1287.9
2017,3,대구,1490.02,1281.85
2017,3,인천,1500.86,1292.32
2017,3,광주,1489.65,1278.75
2017,3,대전,1503.71,1296.08
2017,3,울산,1500.64,1294.05
2017,3,경기,1510.06,1298.97
2017,3,강원,1511.36,1304.24
2017,3,충북,1507.07,1295.39
2017,3,충남,1510.28,1300.32
2017,3,전북,1494.15,1281.37
2017,3,전남,1500.91,1293.68
2017,3,경북,1492.56,1283.96
2017,3,경남,1491.14,1283.28
2017,3,제주,1568.92,1349.87
2017,3,세종,1518.36,1308.49
2017,3,전국,1833.88,1297.28
2017,4,서울,1573.84,1366.39
2017,4,부산,1471.26,1263.38
2017,4,대구,1467.58,1260.66
2017,4,인천,1480.26,1271.53
2017,4,광주,1469.4,1259.46
2017,4,대전,1484.5,1274.81
2017,4,울산,1480.83,1272.7
2017,4,경기,1489.34,1277.92
2017,4,강원,1494.39,1288.73
2017,4,충북,1487.91,1276.76
2017,4,충남,1492.84,1281.71
2017,4,전북,1478.35,1265.31
2017,4,전남,1486.23,1278.31
2017,4,경북,1473.17,1263.73
2017,4,경남,1469.52,1261.02
2017,4,제주,1546.02,1335.61
2017,4,세종,1504.83,1296.07
2017,4,전국,1820.29,1277.84
2017,5,서울,1570.36,1363.08
2017,5,부산,1463.8,1255.56
2017,5,대구,1456.07,1248.7
2017,5,인천,1477.14,1267.66
2017,5,광주,1464.06,1254.75
2017,5,대전,1476.57,1267.62
2017,5,울산,1474.11,1264.8
2017,5,경기,1484.59,1272.87
2017,5,강원,1488.37,1282.37
2017,5,충북,1482.89,1271.76
2017,5,충남,1487.14,1275.87
2017,5,전북,1473.78,1260.45
2017,5,전남,1480.13,1272.35
2017,5,경북,1465.56,1255.66
2017,5,경남,1459.08,1251.61
2017,5,제주,1530.74,1320.05
2017,5,세종,1503.38,1295.03
2017,5,전국,1813.55,1271.39
2017,6,서울,1552.58,1345.22
2017,6,부산,1443.33,1235.13
2017,6,대구,1428.59,1222.37
2017,6,인천,1453.93,1244.86
2017,6,광주,1438.64,1231.14
2017,6,대전,1449.79,1241.61
2017,6,울산,1454.73,1244.23
2017,6,경기,1465.01,1252.22
2017,6,강원,1474.46,1268.07
2017,6,충북,1465.51,1253.51
2017,6,충남,1469.43,1258.21
2017,6,전북,1452.39,1239.0
2017,6,전남,1462.56,1253.89
2017,6,경북,1444.48,1234.31
2017,6,경남,1440.65,1234.0
2017,6,제주,1506.97,1290.94
2017,6,세종,1489.69,1281.5
2017,6,전국,1799.5,1251.47
2017,7,서울,1540.2,1334.91
2017,7,부산,1423.56,1216.7
2017,7,대구,1404.04,1199.95
2017,7,인천,1430.22,1223.33
2017,7,광주,1411.31,1206.96
2017,7,대전,1431.59,1224.81
2017,7,울산,1428.17,1219.25
2017,7,경기,1444.03,1232.77
2017,7,강원,1452.66,1246.43
2017,7,충북,1442.79,1230.27
2017,7,충남,1443.71,1234.17
2017,7,전북,1426.0,1213.58
2017,7,전남,1436.19,1228.22
2017,7,경북,1417.66,1208.6
2017,7,경남,1418.15,1211.97
2017,7,제주,1498.46,1291.87
2017,7,세종,1467.13,1258.91
2017,7,전국,1789.2,1229.81
2017,8,서울,1561.01,1355.69
2017,8,부산,1445.11,1238.59
2017,8,대구,1423.05,1220.04
2017,8,인천,1457.71,1251.83
2017,8,광주,1426.65,1223.78
2017,8,대전,1446.51,1242.67
2017,8,울산,1436.3,1229.4
2017,8,경기,1461.61,1252.35
2017,8,강원,1459.34,1253.09
2017,8,충북,1452.11,1243.05
2017,8,충남,1451.02,1242.9
2017,8,전북,1436.61,1227.25
2017,8,전남,1440.35,1234.12
2017,8,경북,1428.85,1222.46
2017,8,경남,1429.73,1225.27
2017,8,제주,1531.41,1329.95
2017,8,세종,1468.28,1261.32
2017,8,전국,1804.2,1244.87
2017,9,서울,1589.36,1381.92
2017,9,부산,1477.82,1267.46
2017,9,대구,1460.67,1254.86
2017,9,인천,1488.9,1278.29
2017,9,광주,1464.81,1257.82
2017,9,대전,1479.74,1275.16
2017,9,울산,1470.03,1262.36
2017,9,경기,1490.18,1279.81
2017,9,강원,1479.75,1272.56
2017,9,충북,1476.79,1265.82
2017,9,충남,1476.19,1267.42
2017,9,전북,1466.62,1255.83
2017,9,전남,1462.87,1255.0
2017,9,경북,1456.7,1249.74
2017,9,경남,1457.33,1250.49
2017,9,제주,1557.6,1349.27
2017,9,세종,1481.58,1273.57
2017,9,전국,1822.16,1271.01
2017,10,서울,1608.41,1403.82
2017,10,부산,1497.4,1286.73
2017,10,대구,1485.72,1279.54
2017,10,인천,1514.78,1303.26
2017,10,광주,1494.54,1285.89
2017,10,대전,1502.51,1297.45
2017,10,울산,1492.26,1283.38
2017,10,경기,1514.39,1304.71
2017,10,강원,1504.34,1297.58
2017,10,충북,1503.35,1292.57
2017,10,충남,1502.62,1293.87
2017,10,전북,1493.48,1282.61
2017,10,전남,1488.55,1279.54
2017,10,경북,1484.23,1276.42
2017,10,경남,1480.03,1272.01
2017,10,제주,1581.29,1365.4
2017,10,세종,1512.67,1304.07
