년,월,차종,주행거리,에너지소비효율,충전지용량
2018,4,승용,377.0,4.75,220.0
2018,4,소계,377.0,4.75,220.0
2018,5,승용,377.0,4.75,220.0
2018,5,소계,377.0,4.75,220.0
2018,6,승용,377.0,4.75,220.0
2018,6,소계,370.76,4.729,218.0
2018,7,승용,369.06451612903226,4.833870967741936,210.96774193548387
2018,7,소계,314.69953917050697,4.635115207373272,194.4700460829493
2018,8,승용,356.5,4.966666666666667,196.66666666666666
2018,8,소계,314.85714285714283,4.785714285714286,185.71428571428572
2018,9,승용,356.5,4.966666666666667,196.66666666666666
2018,9,소계,314.85714285714283,4.785714285714286,185.71428571428572
2018,10,승용,356.5,4.966666666666667,196.66666666666666
2018,10,소계,314.85714285714283,4.785714285714286,185.71428571428572
2018,11,승용,364.9952380952381,4.9006349206349205,203.77777777777777
2018,11,소계,325.06666666666666,4.739999999999999,192.66666666666666
2018,12,승용,343.963133640553,4.906707629288275,190.25089605734766
2018,12,소계,315.57096774193553,4.784193548387098,183.08064516129033
2019,1,승용,342.0,4.911111111111112,188.88888888888889
2019,1,소계,314.3,4.790000000000001,182.0
2019,2,승용,341.9123376623376,4.846176046176047,191.93434343434345
2019,2,소계,315.7035714285715,4.736964285714286,185.16071428571428
2019,3,승용,339.7254680803068,4.77581773065644,194.28332957365217
2019,3,소계,318.61443932411674,4.693548387096775,188.55606758832565
2019,4,승용,334.2568142968143,4.86034188034188,187.93429681429683
2019,4,화물,84.0,2.3,86.0
2019,4,소계,311.8519284636932,4.737782805429864,181.7347554406378
2019,5,승용,306.66129032258067,5.031451612903226,166.30645161290323
2019,5,화물,84.0,2.3,86.0
2019,5,소계,271.6779510811769,4.725646933711451,156.76001417936902
2019,6,승용,304.5,5.108333333333333,163.5
2019,6,화물,84.0,2.3,86.0
2019,6,소계,273.2324175824176,4.81565934065934,155.12527472527472
2019,7,승용,303.64838709677423,5.085752688172043,164.54516129032257
2019,7,화물,84.0,2.3,86.0
2019,7,소계,285.57049402210697,4.856575682382133,158.06902774644712
2019,8,승용,365.7898263027295,4.573573200992555,222.3230769230769
2019,8,화물,84.0,2.3,86.0
2019,8,소계,352.6976213750407,4.455913978494624,216.2984685565331
2019,9,승용,384.3076923076923,4.434615384615384,238.69230769230768
2019,9,화물,84.0,2.3,86.0
2019,9,소계,373.18518518518516,4.355555555555555,233.03703703703704
2019,10,승용,394.2489225545253,4.647231291628574,230.7307039310435
2019,10,화물,84.0,2.3,86.0
2019,10,소계,379.47634408602147,4.610645161290323,224.4768817204301
2019,11,승용,395.2229492650546,4.747681365576102,225.16571834992888
2019,11,화물,84.0,2.3,86.0
2019,11,소계,379.04269230769233,4.727711538461539,218.75502136752135
2019,12,승용,398.8047066591209,4.743053197509903,227.50556498773818
2019,12,화물,138.7258064516129,2.6564516129032256,183.70967741935485
