"구분(1)",구분(2),2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"경기도",안산,32,60,47,69,61,71,42,52,28,29,30,27,36,44,45,49,44,46,43,35,36,22,25*,22*,36,43,45,43,54,76,46,65,36,29,26,18,31,46,43,48,43,45,46,32,20,26,22,27,32,45,41,53,53,73,70,43,30,28,24,23,31,33,38,40,38,53,53,31,30,22,26,17*,24*,29,33
"경기도",평택,49,80,59,80,70,85,56,67,39,35,34,33,43,51,47,49,45,53,48,43,43,27,27,28,45,48,45,43,54,82,51,70,44,28,29,21,37,50,43,47,44,51,55,44,29,31,24,32,39,53,40,54,55,78,79,48,36,31,28,29,41,36,41,39,38,58,58,35,35,21,28,20,28,35,38
"경기도",과천,29,51,43,66,59,67,43,56,33,32,31,26,33,44,43,45,43,48,50,40,45,26,28,23,38,43,45,41,54,75,48,72,46,29,26,18,28,44,39,44,40,43**,48*,33,21,24,19,21,25,36,35,46,46,69,64,39,28,26,22,22,27,30,37**,37**,35,52,50,30,32,20,24,17,22,28,32
"경기도",구리,36,60,52,77,62,67,41,52,29*,30,29,23,34,46,48,47,44,49,49,36,39,20,22,20,34,43,45,40,49,66,44,61,34,24,23,16,28,45,40,44,40,44,45,34,22,22,19,19,22,39,37,46,46,70,65,38,29,26,21,20,26,29,34,36,30,49,45,24,26,16,19,13*,17**,27**,34**
"경기도",의왕,32,61,48,71,61,72,41,51,29,27,28,25,33,44,46,47,43,47,43,35,40,22,23,21,34,41,42,39,50,65,40**,60,32,24,23,15,27,43,38,43,40,44,44,32,21,25,20,24,28,42,38,50,50,71,62,37,27,25,23,22,27,29,35,34,34,50,50,29,29,21,26,17,22,27,32
"경기도",고양,34,59,48,68,55,70,44,56,31,30,26,26,37,47,44,46,42,49,49,43,45,29,26,22,38,45,43,40,49,70,44,62,39,31,26,17*,30*,50,40,43,40,42,47,35,24,26,21,25,28,42,38,49,46,71,66,41,33,29,25,26,32,32,37,36,33,53,53,34,36,23,27,21,29,32,35
"경기도",광주,32,63,53,79,69,80,46,56,32,27,28,22,32,47,57,54,50,51,49,35,40,20,22,20,38,49,52,46,54,73,48,61,33,23,23,18,30,52,46,51,46,50,48,35,24,25,20,21,28,46,44,52,52,74,65,40,29,26,22,22,31,36,42,42,36,55,54,31,33,21,24,17,21,30,39
"경기도",군포,40,67,50,72,63,78,56,67,42,43,31*,24,36,43,43,44,42,48,46,38,42,24,22,20,36,43,42,39,50,74,46,68,40,26,24,17,30,46,39,42,39,46,48,36,25,27,21,25,30,43,37,49,49,75,71,42,32,27,23,24,33,33,36,35,34,53,56,33,33,21,25,18,27,30,33
"경기도",시흥,41,72,55,79,68,85,55,68,36,33,33,34,46,53,52,54,47,52,48,41,42,26,25,25,41,48,45,41*,54,81,49,67,40,30,27,20,34,50,45,48,43,49,51,38,25,28,21,30,36,51,40,52,51,78,73,47,33,29,25,27,36,35,41,42,37,55,58,35,35,24,28,21,31,35,38
"경기도",부천,40,73,57,79,66,82,57,64,41,39,36,36,51,57,52,53,45,55,57,48,53,31,25,26,48,52,49,45,58,84,52,72,48,34,30,20,36,55,45,46,43,47,49,35,22,24,17,27,33,48,40,52,52,78,71,44,31,24,19,21,33,36,42,40,37,55,57,33,32,18,22,15,30,35,37
"경기도",남양주,30*,55,48,69,58,67,41,53,32,30,28,21,32,44,44,40,42,46,47,37,41,21,23,19,33,41,43,42,50,66,44,63,33,26,23,15,26,43,39,45,42,42,45,34,24,25,21,19,22,36,37,45,44,69,62,37,29,29,22,21,28,32,37,38,31,52,52,30,33,24,26,17,20,27,35
"경기도",용인,33,59,45,66,58*,65,43,56,32,27,28,24,34,47,50,48,47,52,47,35,38,20,22,20,39,46,49,42,50,70,46,62,34,22,21,16,30,48,42,47,43,49,47,34,22,24,18,22,30,47,42,51,54,75,67,39,28,25,22,22,32,35,43,41,37,55,54,31,31,19,23,17,22,29,35
"경기도",김포,34,62,51,75,58,75,47,59,27,27,25,28,42,49,48,48,42,52,51,40,39,25,24,25,42,49,50,45,55,79,50,68,41,30,25,19,34*,53*,43,45,41,43,49,36,23,27*,23,31,31,43,40,51,48,74,71,41,30,27,22,23,34,33,38,37,34,51,49,31,31,20,23,17,29,33,36*
"경기도",오산,43,71,52,76,65,77,50,54,26,27,28,24,31,44,41,43,40,45,41,33,38,19,21,21,37,41,39,35,46,72,46,70,43,25,27,17,29,45,38,44,39,48,49,37,25,36**,,22,27,43,37,49,52,71,70,40,31,29,24,22,30,31,35,35,34,49,51,30,31,23,27,17,22,28,33
