"구분(1)",구분(2),2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"경기도",안산,9,13,17,33,26,38,35,42,18,25,16,16,17,13,16,20,27,31,27,22,16,15,17,11,11*,9*,16,23,27,22,31,35,17,18,18,14,13,8,14,26,25,31,27,23,21,15,10,15,9,12,16,23,19,26,31,29,21,18,16,15,12,11,15,17,21,25,22,22,21,13,15,10,15,9*,13*,17*,18*
"경기도",평택,13,16,24,43,31,45,42,53,26,33,26,21,18,15,19,24,29,30,27,26,18,22,24,16,14,13,22,27,28,24,33,37,22,26,27,17,16,10,20,30,27,33,28,27,26,20,15,19,13,17,23,32,26,31,38,35,27,23,23,19,16,16,22,20,25,28,27,26,27,18,19,11,17,10,16,20,21*
"경기도",과천,10,14,15,30,26,39,36,44,16,23,14,14,13,9,13,18,27,27,27,24,19,15,18,11,12,9,16,22,26,20,29,31,16,17,18,14,11,6,11,22,23,28,25,22**,21,16,11,14,10,11,15,21,20,26,32,28,20,16,15,14,12,10,13,16,21,25,23,21,18,13,14,9,12,7,11,15,17
"경기도",구리,15,12,19,33,28,42,38,44,20,26,17*,20,18,12,15,22,30,29,29,26,21,19,22,12,12,10,16,22,27,20,27,29,18,22,20,13,12,7,13,25,23,27,23,21,20,17,13,14,10,10,13,21,19,24,27,28,22,18,19,18,14,13,17,19,20,24,21,21,19,13,15,10,12,6,8*,14,20
"경기도",의왕,10,13,17,36,27,42,39,49,20,28,18,18,17,14,17,24,35,35,30,29,21,19,23,14,13,11,18,25,27,20,29,32,15**,16,16,12,10,6,12,22,21,27,24,21,19,14,9,12,8,10,13,21,18,25,30,30,20,15,12,11,9,8,12,15,22,24,23,21,20,14,15,8,13,8,11,14,17
"경기도",고양,13,11,20,34,27,38,34,46,21,30,19,21,16,11,15,21,27,27,24,22,19,20,22,16,15,12,17,23,24,19,27,32,18,22,22,17,14,8,14,28,21,27,24,20,21,17,15,18,11,12,15,25,21,26,30,30,22,18,17,17,15,13,16,16,19,25,23,24,23,17,19,13,16,11,15,17,18
"경기도",광주,11,15,20,39,34,50,45,51,22,28,16,13,12,9,14,22,34,31,33,29,23,18,22,12,13,10,19,28,33,26,33,34,20,19,19,13,12,8,14,28,26,33,30,26,23,17,13,14,10,11,15,25,25,31,35,32,22,17,16,13,11,11,17,19,24,27,23,24,21,14,17,10,14,9,11,17,21
"경기도",군포,14,12,20,36,24,35,32,44,22,28,19,20,14*,14,19,21,28,27,26,25,21,22,24,15,13,13,18,23,24,19,29,34,19,24,24,17,13,9,14,24,20,25,21,22,22,17,12,14,10,14,17,25,18,24,29,31,23,20,20,17,13,13,18,18,21,23,23,22,23,17,19,11,15,10,16,17,17
"경기도",시흥,14,14,23,43,30,43,41,54,30,37,23,20,17,17,22,26,35,36,30,24,20,22,24,17,15,14,22,29,29,23*,35,40,21,26,25,18,14,10,17,30,27,31,26,26,26,20,15,19,12,16,20,29,22,29,33,35,25,23,22,19,15,15,20,19,24,27,25,25,28,18,20,13,15,10,17,19,18
"경기도",부천,13,14,21,41,31,43,40,51,28,35,25,28,24,20,23,28,34,34,32,31,26,29,28,19,14,13,21,28,27,22,30,41,22,29,30,19,15,10,18,33,27,31,27,25,23,16,11,14,8,13,17,26,19,26,32,34,23,19,16,12,9,10,16,18,24,26,24,22,25,16,16,10,12,7,15,17,17*
"경기도",남양주,10,12,17*,31,28,41,37,44,19,26,19,17,15,11,14*,22,31,29,29,25,20,18,20,9,11,9,16,23,28,20,27,29,17,18,17,13,11,6,12,24,22,28,25,20,20,16,12,12,11,10,13,21,21,25,30,29,21,17,15,15,12,10,14,16,21,25,20,22,21,14,16,11,14,8,11,15,19
"경기도",용인,10,13,17,35,28,43,42,49,18,28,18,15,15,12,16,24,35,33,32,29,22,17,20,11,12,10,20,27,32,25,32,34,19,18,18,12,11,7,15,28,26,34,29,27,23,17,12,14,9,11,17,27,25,31,37,34,23,18,16,14,12,11,16,20,25,28,25,24,21,15,17,10,14,9,12,17,21
"경기도",김포,10,8,18,35,30,42,36,47,22,31,17,18,14,13,18,22,32,31,27,26,21,20,21,16,15,14,21,28,31,25,34,39,22,26,26,19,16,11,18*,33*,26*,31,27,24,25,19,13,18,13,16,19,26,24,30,34,34,26,22,22,19,13,14,19,20,24,28,26,24,25,18,19,13,16,11,19,21,21*
"경기도",오산,12,11,24,42,29,46,41,54,25,29,20,17,11,10,14,22,29,31,30,26,19,19,21,9,8,8,16,22,24,19,27,34,18,21,18,9,10,5,14,27,25,29,25,26,24,21,16,17,8,12,18,25,19,25,32,32,23,18,16,7,13,14,19,18,22,24,24,24,24,17,18,12,15,9,13,17,18
"경기도",하남,9,14,14,25,24,40,39,39,13,19,12,12,12,6,10,19,25,25,22,19,14,12,15,9,10,9,14,20,24,18,25,25,16,15,17,13,11,5,11,22,18,27,24,19,18,15,13,14,11,9,13,20,19,24,28,26,18,16,16,17,14,11,13,16,19,24,21,21,21,15,18,13,18,10,11,13**,16
"경기도",화성,14,12,23,42,29,43,40,51,23,31,23,22,17,16,20,25,32,32,28,26,20,21,24,16,15,14,21,26,27,22,30,36,20,24,24,16,15,9,16,26,25,31,27,25,24,19,14,17,11,15,20,28,22,29,34,33,25,21,20,17,14,14,20,19,24,26,25,25,26,17,19,12,16,11,17,19,19
"경기도",양주,11,9,20,41,35,48,38,46,19,24,17,19,15,14,20,24,29,28,26,22,19,19,20,12,10,9,17,28,30,21,29,31,17,20,19,13,12,6,14,29,25,29,25,21,21,17,14,14,11,11,15,27,24,29,32,30,24,19,17,16,11,11,15,17,23,27,22,22,22,16,18,11,13,9,14,16,19
"경기도",동두천,10,10,17,38*,34,43,36,44,21,28,20,17,12,11,16,24,32,39,24,21,19,17,18,11,12,10,13,18,26,16,23,24,14,16,15,11,10,5,11,22,20,22,23,17,17,14,10,10,9,8,10,22,22,22,25,24,17,13,12,12,8,7,11,13,17,20,17,16,16,11,12,9,9*,5,9,12,13
"경기도",안성,11,13*,22,46,33,49,48,54,25,27,17,13,15,11,17,27,33,35,33,31,23,19,20,12,12,12,25,31,36,27,35,37,21,20,20,12,12,8,19,32,29,37,32,31,25,18,11,14,9,12,21,34,27,33,40,37,24,19,15,14,13,12,20,21,28,30,27,26,25,16,18,10,14,9,13,21,23
"경기도",이천,11,9,21,38,32,46,47,50,23,28,22,17,14,11,18,26,34,35,32,28,22,20,24,14,15,14,22,28,33,25,30,31,20,23,23,14,14,9,18,31,26,34,27,27,23,20,16,15,12,12,18,32,29,32,35,32,24,21,21,17,14,14,20,22,26,27,23,25,26,18,21,13,15,10,15,18,20
"경기도",파주,13,14,20,37,32,47,39,49,22,29,18,19,18,15,20,26,35,34,32,28,22,17,19,14,13,11,20,28,33,26,34,35,18,19,19,15,13,7,15,32,27,33,29,23,22,16,10,13,9,12,15,25,23,29,32,26*,19*,15*,14*,13*,11*,10,14,17,24*,28*,24,24,20,14,15,10,13,8,14,19,23
"경기도",포천,12,13,20,35,31,47,38,44,18,24,16,15,13,9,14,24,33,33,29,27,20,15,16,9,9,7,16,23,32,25,30,29,17,16,17,13,11,6,14,29,27,34,29,22,21,17,12,12,10,9,13,25,26,31,34,30,19,15,14,13,11,10,16,19,24,28,22,22,20,13,15,10,12,6,10,16,21
"경기도",여주,7,6,18,36,33,49,47,51,23,30,21,11**,,15,22,34,41,36,35,28,23,22,24,11,12,13,23,31,39,28,33,33,23,26,25,13*,12,9,19,34,27,36,29,29,25,22,17,15,11,11,19,32,30,32,38,38,27,23,23,18,15,16,22,24,30,31,27,29,29,21,24,12,13,8,16,23,24
"경기도",연천,6,5,11,24,23,30,29,37,16,22,12,11,8,7,11,18,25,24,19,18,15,13,15,8,9,9,13,19,24,20,28,28,17,19,19,15,12,6,12,24,21,19**,24**,20,18,15,9,9,7,5,7,20,20,25,29,27,19,14,12,13,8,7,13,16,20,24,20,20,18,12,13,9,10,6,10,15,18
"경기도",가평,10,9,15,24,23,36,32,37,16,22,13,8,10,6,10,16,24,24,23,19,16,14,18,9,11,9,16,22,29,22,28,26,16,17,15,11,10,7*,13**,26**,23,31,27,21,20,17,13,11,10,9,12,21,22,28,30,29,20,16,13,12,10,9,13,18,23,25,20,23,19,13,17,12,12,6,9,13,15
"경기도",양평,10,15,15,27,25,41,36,41,16,23,18,15,16,10,14,20,28,28,27,23,19,16,21,11,12,10,18,26,33,25,30,27,18,18,17,13,11,8**,15**,29,25,33,29,25,21,18,13,11,9,8,13,22,26,29,33,30,21,16,14,12,9,9,16,21,26,28,22,24,22,15,18,10,12,8,10,17,23
"경기도",도평균,11,13,19,36,28,41,38,47,21,28,19,18,16,13,17,23,31,31,29,26,20,19,21,13,13,11,19,25,29,22,31,33,19,21,21,15,13,8,15,27,25,31,27,24,22,17,13,15,10,12,16,25,22,28,33,31,23,19,17,15,13,12,17,18,23,26,23,23,23,16,17,11,14,9,14,17,19
"강원특별자치도",양구,,,,,,28*,28,36,17,22,15,13,13,9,13,20,28,24,24,21,19,14,17,8,9,8,15,20,24,20,26,23,16,15,13,11,10,6,10,20,19,26,25,23**,,13**,10,7,6,6,7,16,18,21,24,22,14,14,10,10,6,6,11,13,16,19,13,16,15,9,12,7,7,5*,7,10,13
"강원특별자치도",고성,,,,,17,26,25,29,14,19,13,12,13,8,11,13,19,15,19,16,15,10,14,7,8,8,13,15,19,15,21,17,15,13,11,11,10,6,9,16,15,20,21,18,18,15,11,9,8,7,8,16,14,17,23,23,18,,7*,10,5,6,9,9,13,14,13,14,15,8,10,7,5,4,6,8,9
"강원특별자치도",정선,,,,,,29,27,33,15,26,19,15,16,9,13,17,24,20,24,19,19,17,22,9,9*,10,15,20*,19**,13,17,16,12,13,12,8,7,5,7,14,14,19,16,27**,,12**,12,9,8,7,9,17,19,21,24,23,19,14,11,3,2,9,15,17,19,17,12,19,18,11,13,7,8,4,9,12,16
"강원특별자치도",횡성,,,,,24,37,35,50,21,26,20,15,16,10,17,24,35,34,34,27,20,14,18,8,10,7,16,22,29,22,26,24,15,15,14,10,9,6,11,24,21,31,26,21,18,15,11,9,7,6,8,21,25,27,31,29,20,15,12,9,8*,7**,13**,18**,23,26,18,23,18,10,11,6,6,4,7,12,20
"강원특별자치도",춘천,9,11,14,27,25,35,31,37,16,24,17,14,13,8,13,21,30,31,29,25,20,16,19,9,10*,10*,18*,23,29,23,27,25,17,17,15,10,9,5,10,24,22,29,24,20*,17,14,10,8,7,8,12,18,20,24,26,24,15*,13,10,9*,6*,6*,11*,15*,19*,21*,15*,18*,15*,9**,12**,6**,7*,4*,6*,10*,14*
