시도,지역구분,보조금/승용(만원) (국비+지방비),보조금/초소형(만원) (국비+지방비),보조금/화물(만원) (국비+지방비),보조금/승합(만원) (국비+지방비),년도,차종,보조금/승용(만원) (국비+지방비+보급목표이행보조금등)
충북,옥천군,,800.0,,,2023,승용,1360.0
충북,증평군,,800.0,,,2023,승용,1360.0
충북,영동군,,800.0,,,2023,승용,1360.0
충북,진천군,,800.0,,,2023,승용,1360.0
충북,괴산군,,800.0,,,2023,승용,1360.0
충북,음성군,,800.0,,,2023,승용,1360.0
충북,단양군,,800.0,,,2023,승용,1360.0
충남,천안시,,700.0,,,2023,승용,1380.0
충남,공주시,,700.0,,,2023,승용,1380.0
충남,보령시,,700.0,,,2023,승용,1380.0
충남,아산시,,700.0,,,2023,승용,1380.0
충남,서산시,,700.0,,,2023,승용,1380.0
충남,논산시,,710.0,,,2023,승용,1380.0
충남,계룡시,,700.0,,,2023,승용,1380.0
충남,당진시,,700.0,,,2023,승용,1380.0
충남,금산군,,,,,2023,승용,1380.0
충남,부여군,,700.0,,,2023,승용,1380.0
충남,서천군,,,,,2023,승용,1380.0
충남,청양군,,700.0,,,2023,승용,1380.0
충남,홍성군,,700.0,,,2023,승용,1380.0
충남,예산군,,700.0,,,2023,승용,1380.0
충남,태안군,,700.0,,,2023,승용,1380.0
전북,전주시,,550.0,,,2023,승용,1380.0
전북,군산시,,550.0,,,2023,승용,1380.0
전북,익산시,,550.0,,,2023,승용,1380.0
전북,정읍시,,550.0,,,2023,승용,1380.0
전북,남원시,,550.0,,,2023,승용,1380.0
전북,김제시,,550.0,,,2023,승용,1380.0
전북,완주군,,550.0,,,2023,승용,1380.0
전북,진안군,,550.0,,,2023,승용,1380.0
전북,무주군,,550.0,,,2023,승용,1380.0
전북,장수군,,550.0,,,2023,승용,1380.0
전북,임실군,,550.0,,,2023,승용,1380.0
전북,순창군,,550.0,,,2023,승용,1380.0
전북,고창군,,550.0,,,2023,승용,1380.0
전북,부안군,,550.0,,,2023,승용,1380.0
전남,목포시,,782.0,,,2023,승용,1430.0
전남,여수시,,749.0,,,2023,승용,1300.0
전남,순천시,,684.0,,,2023,승용,1330.0
전남,나주시,,764.0,,,2023,승용,1330.0
전남,광양시,,835.0,,,2023,승용,1530.0
전남,담양군,,815.0,,,2023,승용,1430.0
전남,곡성군,,500.0,,,2023,승용,1530.0
전남,구례군,,815.0,,,2023,승용,1430.0
전남,고흥군,,775.0,,,2023,승용,1510.0
전남,보성군,,735.0,,,2023,승용,1530.0
전남,화순군,,815.0,,,2023,승용,1430.0
전남,장흥군,,735.0,,,2023,승용,1430.0
전남,강진군,,815.0,,,2023,승용,1430.0
전남,해남군,,775.0,,,2023,승용,1530.0
전남,영암군,,815.0,,,2023,승용,1530.0
전남,무안군,,815.0,,,2023,승용,1430.0
전남,함평군,,915.0,,,2023,승용,1530.0
전남,영광군,,915.0,,,2023,승용,1430.0
전남,장성군,,815.0,,,2023,승용,1530.0
전남,완도군,,815.0,,,2023,승용,1430.0
전남,진도군,,865.0,,,2023,승용,1530.0
전남,신안군,,782.0,,,2023,승용,1430.0
경북,포항시,,658.0,,,2023,승용,1280.0
경북,경주시,,658.0,,,2023,승용,1280.0
경북,김천시,,658.0,,,2023,승용,1280.0
경북,안동시,,650.0,,,2023,승용,1280.0
경북,구미시,,658.0,,,2023,승용,1280.0
경북,영주시,,658.0,,,2023,승용,1280.0
경북,영천시,,650.0,,,2023,승용,1280.0
경북,상주시,,658.0,,,2023,승용,1280.0
경북,문경시,,650.0,,,2023,승용,1280.0
경북,경산시,,658.0,,,2023,승용,1280.0
경북,군위군,,650.0,,,2023,승용,1280.0
경북,의성군,,650.0,,,2023,승용,1280.0
경북,청송군,,658.0,,,2023,승용,1280.0
경북,영양군,,650.0,,,2023,승용,1280.0
경북,영덕군,,650.0,,,2023,승용,1280.0
경북,청도군,,650.0,,,2023,승용,1280.0
경북,고령군,,650.0,,,2023,승용,1280.0
경북,성주군,,650.0,,,2023,승용,1280.0
경북,칠곡군,,658.0,,,2023,승용,1280.0
경북,예천군,,658.0,,,2023,승용,1280.0
경북,봉화군,,650.0,,,2023,승용,1280.0
경북,울진군,,658.0,,,2023,승용,1280.0
경북,울릉군,,900.0,,,2023,승용,1780.0
경남,창원시,,650.0,,,2023,승용,1280.0
경남,진주시,,650.0,,,2023,승용,1280.0
경남,통영시,,650.0,,,2023,승용,1280.0
경남,사천시,,650.0,,,2023,승용,1280.0
경남,김해시,,650.0,,,2023,승용,1280.0
경남,밀양시,,650.0,,,2023,승용,1280.0
경남,거제시,,650.0,,,2023,승용,1280.0
경남,양산시,,650.0,,,2023,승용,1280.0
경남,의령군,,650.0,,,2023,승용,1280.0
경남,함안군,,650.0,,,2023,승용,1280.0
경남,창녕군,,673.0,,,2023,승용,1325.0
경남,고성군,,,,,2023,승용,1280.0
경남,남해군,,700.0,,,2023,승용,1300.0
경남,하동군,,650.0,,,2023,승용,1280.0
경남,산청군,,650.0,,,2023,승용,1280.0
경남,함양군,,650.0,,,2023,승용,1280.0
경남,거창군,,930.0,,,2023,승용,1830.0
경남,합천군,,750.0,,,2023,승용,1480.0
제주,제주특별자치도,,750.0,,,2023,승용,1080.0
공단,한국환경공단,,350.0,,,2023,승용,680.0
서울,서울특별시,,,"초소형825  경형1,260  소형1,946",,2023,화물,
부산,부산광역시,,,"초소형750  경형1,200  소형1,860",,2023,화물,
대구,대구광역시,,,"초소형800  경형1,250  소형1,946",,2023,화물,
인천,인천광역시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
광주,광주광역시,,,"초소형770  경형1,188  소형1,885",,2023,화물,
대전,대전광역시,,,"초소형756  경형1,237  소형2,007",,2023,화물,
울산,울산광역시,,,"초소형715  경형1,170  소형1,898",,2023,화물,
세종,세종특별자치시,,,"초소형750  경형1,200  소형1,860",,2023,화물,
경기,수원시,,,"초소형790  경형1,300  소형2,190",,2023,화물,
경기,성남시,,,"초소형800  경형1,417  소형2,299",,2023,화물,
경기,의정부시,,,"초소형790  경형1,275  소형2,068",,2023,화물,
경기,안양시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,부천시,,,"초소형802  경형1,312  소형2,129",,2023,화물,
경기,광명시,,,"초소형820  경형1,350  소형2,190",,2023,화물,
경기,평택시,,,"초소형930  경형1,522  소형2,469",,2023,화물,
경기,동두천시,,,"초소형870  경형1,425  소형2,311",,2023,화물,
경기,안산시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,고양시,,,"초소형820  경형1,350  소형2,190",,2023,화물,
경기,과천시,,,"초소형871  경형1,425  소형2,312",,2023,화물,
경기,구리시,,,"초소형800  경형1,400  소형2,160",,2023,화물,
경기,남양주시,,,"초소형800  경형1,350  소형2,060",,2023,화물,
경기,오산시,,,"초소형917  경형1,500  소형2,260",,2023,화물,
경기,시흥시,,,"초소형775  경형1,275  소형2,068",,2023,화물,
경기,군포시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,의왕시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,하남시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,용인시,,,"초소형870  경형1,425  소형2,311",,2023,화물,
경기,파주시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,이천시,,,"초소형850  경형1,400  소형2,311",,2023,화물,
경기,안성시,,,"초소형916  경형1,500  소형2,260",,2023,화물,
경기,김포시,,,"초소형825  경형1,350  소형2,190",,2023,화물,
경기,화성시,,,"초소형970  경형1,525  소형2,411",,2023,화물,
경기,광주시,,,"초소형825  경형1,350  소형2,312",,2023,화물,
경기,양주시,,,"초소형871  경형1,425  소형2,312",,2023,화물,
경기,포천시,,,"초소형870  경형1,425  소형2,311",,2023,화물,
경기,여주시,,,"초소형870  경형1,425  소형2,160",,2023,화물,
경기,연천군,,,"초소형870  경형1,425  소형2,160",,2023,화물,
경기,가평군,,,"초소형871  경형1,425  소형2,160",,2023,화물,
경기,양평군,,,"초소형870  경형1,425  소형2,311",,2023,화물,
강원,춘천시,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,원주시,,,"경형1,700  소형2,160",,2023,화물,
강원,강릉시,,,"초소형1,090  소형2,160",,2023,화물,
강원,동해시,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,태백시,,,"초소형1,090  소형2,160",,2023,화물,
강원,속초시,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,삼척시,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,홍천군,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,횡성군,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,영월군,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,평창군,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,정선군,,,"초소형1,090  소형2,160",,2023,화물,
강원,철원군,,,"초소형1,090  소형2,160",,2023,화물,
강원,화천군,,,"경형1,700  소형2,160",,2023,화물,
강원,양구군,,,"초소형1,090  소형2,160",,2023,화물,
강원,인제군,,,"초소형1,090  경형1,700  소형2,160",,2023,화물,
강원,고성군,,,"초소형1,090  소형2,160",,2023,화물,
강원,양양군,,,"초소형1,090  소형2,160",,2023,화물,
충북,청주시,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,충주시,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,제천시,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,보은군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,옥천군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,증평군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,영동군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,진천군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,괴산군,,,"초소형825  경형1,350  소형2,160",,2023,화물,
충북,음성군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충북,단양군,,,"초소형825  경형1,350  소형2,312",,2023,화물,
충남,천안시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,공주시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,보령시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,아산시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,서산시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,논산시,,,"초소형885  경형1,580  소형2,556",,2023,화물,
충남,계룡시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,당진시,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,금산군,,,"소형2,360",,2023,화물,
충남,부여군,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,서천군,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,청양군,,,"초소형885  경형1,800  소형2,360",,2023,화물,
충남,홍성군,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,예산군,,,"초소형885  경형1,580  소형2,360",,2023,화물,
충남,태안군,,,"초소형885  경형1,580  소형2,360",,2023,화물,
전북,전주시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,군산시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,익산시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,정읍시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,남원시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,김제시,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,완주군,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,진안군,,,"초소형800  경형1,400  소형2,160",,2023,화물,
전북,무주군,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,장수군,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,임실군,,,"초소형800  경형1,400  소형2,216",,2023,화물,
전북,순창군,,,"초소형800  경형1,400  소형2,160",,2023,화물,
전북,고창군,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전북,부안군,,,"초소형800  경형1,400  소형2,311",,2023,화물,
전남,목포시,,,"초소형550  경형900  소형2,210",,2023,화물,
전남,여수시,,,"초소형793  경형1,297  소형2,134",,2023,화물,
전남,순천시,,,"초소형847  경형1,387  소형2,110",,2023,화물,
전남,나주시,,,"초소형802  경형1,312  소형2,010",,2023,화물,
전남,광양시,,,"초소형939  경형1,537  소형2,310",,2023,화물,
전남,담양군,,,"초소형893  경형1,462  소형2,372",,2023,화물,
전남,곡성군,,,"초소형1,100  경형1,613  소형2,920",,2023,화물,
전남,구례군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
전남,고흥군,,,"초소형900  경형1,500  소형2,210",,2023,화물,
전남,보성군,,,"초소형935  경형1,574  소형2,310",,2023,화물,
전남,화순군,,,"초소형893  경형1,462  소형2,372",,2023,화물,
전남,장흥군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
전남,강진군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
전남,해남군,,,"초소형900  경형1,500  소형2,310",,2023,화물,
전남,영암군,,,"초소형900  경형1,500  소형2,494",,2023,화물,
전남,무안군,,,"초소형893  경형1,462  소형2,372",,2023,화물,
전남,함평군,,,"초소형939  경형1,537  소형2,494",,2023,화물,
전남,영광군,,,"초소형1,015  경형1,462  소형2,210",,2023,화물,
전남,장성군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
전남,완도군,,,"소형2,210",,2023,화물,
전남,진도군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
전남,신안군,,,"초소형893  경형1,462  소형2,210",,2023,화물,
경북,포항시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,경주시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,김천시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,안동시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,구미시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,영주시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,영천시,,,"초소형850  경형1,500  소형2,060",,2023,화물,
경북,상주시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,문경시,,,"초소형850  경형1,500  소형2,060",,2023,화물,
경북,경산시,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,군위군,,,"소형2,190",,2023,화물,
경북,의성군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,청송군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,영양군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,영덕군,,,"초소형850  경형1,200  소형2,060",,2023,화물,
경북,청도군,,,"초소형850  경형1,500  소형2,060",,2023,화물,
경북,고령군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,성주군,,,"초소형850  경형1,350  소형2,060",,2023,화물,
경북,칠곡군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,예천군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,봉화군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,울진군,,,"초소형825  경형1,350  소형2,060",,2023,화물,
경북,울릉군,,,"초소형1,054  경형1,725  소형2,560",,2023,화물,
경남,창원시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,진주시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,통영시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,사천시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,김해시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,밀양시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,거제시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,양산시,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,의령군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,함안군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,창녕군,,,"초소형856  경형1,417  소형2,330",,2023,화물,
경남,고성군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,남해군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,하동군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,산청군,,,"초소형810  경형1,340  소형2,200",,2023,화물,
경남,함양군,,,"소형2,200",,2023,화물,
경남,거창군,,,"초소형1,070  경형1,720  소형2,860",,2023,화물,
경남,합천군,,,"초소형900  경형1,490  소형2,330",,2023,화물,
제주,제주특별자치도,,,"초소형950  경형1,400  소형2,068",,2023,화물,
공단,한국환경공단,,,"초소형550  경형900  소형1,460",,2023,화물,
서울,서울특별시,800.0,340.0,,,2024,승용,
부산,부산광역시,950.0,400.0,,,2024,승용,
대구,대구광역시,950.0,400.0,,,2024,승용,
인천,인천광역시,950.0,437.0,,,2024,승용,
광주,광주광역시,1020.0,400.0,,,2024,승용,
대전,대전광역시,950.0,375.0,,,2024,승용,
울산,울산광역시,975.0,375.0,,,2024,승용,
세종,세종특별자치시,900.0,350.0,,,2024,승용,
경기,수원시,900.0,400.0,,,2024,승용,
경기,성남시,950.0,480.0,,,2024,승용,
경기,의정부시,890.0,407.0,,,2024,승용,
경기,안양시,950.0,365.0,,,2024,승용,
경기,부천시,900.0,346.0,,,2024,승용,
경기,광명시,1050.0,700.0,,,2024,승용,
경기,평택시,1050.0,403.0,,,2024,승용,
경기,동두천시,885.0,356.0,,,2024,승용,
경기,안산시,950.0,386.0,,,2024,승용,
경기,고양시,900.0,350.0,,,2024,승용,
경기,과천시,1000.0,384.0,,,2024,승용,
경기,구리시,1050.0,500.0,,,2024,승용,
경기,남양주시,900.0,406.0,,,2024,승용,
경기,오산시,1050.0,403.0,,,2024,승용,
경기,시흥시,950.0,437.0,,,2024,승용,
경기,군포시,950.0,365.0,,,2024,승용,
경기,의왕시,950.0,365.0,,,2024,승용,
경기,하남시,850.0,326.0,,,2024,승용,
경기,용인시,950.0,400.0,,,2024,승용,
경기,파주시,950.0,350.0,,,2024,승용,
경기,이천시,1050.0,500.0,,,2024,승용,
경기,안성시,1050.0,431.0,,,2024,승용,
경기,김포시,950.0,365.0,,,2024,승용,
경기,화성시,950.0,375.0,,,2024,승용,
경기,광주시,930.0,360.0,,,2024,승용,
경기,양주시,950.0,365.0,,,2024,승용,
경기,포천시,950.0,365.0,,,2024,승용,
경기,여주시,1050.0,500.0,,,2024,승용,
경기,연천군,1000.0,571.0,,,2024,승용,
경기,가평군,1050.0,403.0,,,2024,승용,
경기,양평군,1050.0,500.0,,,2024,승용,
강원,춘천시,938.0,437.0,,,2024,승용,
강원,원주시,938.0,437.0,,,2024,승용,
강원,강릉시,938.0,437.0,,,2024,승용,
강원,동해시,938.0,437.0,,,2024,승용,
강원,태백시,938.0,437.0,,,2024,승용,
강원,속초시,938.0,437.0,,,2024,승용,
강원,삼척시,938.0,437.0,,,2024,승용,
강원,홍천군,938.0,250.0,,,2024,승용,
강원,횡성군,938.0,437.0,,,2024,승용,
강원,영월군,938.0,437.0,,,2024,승용,
강원,평창군,938.0,437.0,,,2024,승용,
강원,정선군,938.0,437.0,,,2024,승용,
강원,철원군,938.0,437.0,,,2024,승용,
강원,화천군,938.0,437.0,,,2024,승용,
강원,양구군,938.0,437.0,,,2024,승용,
강원,인제군,938.0,437.0,,,2024,승용,
강원,고성군,938.0,,,,2024,승용,
강원,양양군,938.0,437.0,,,2024,승용,
충북,청주시,1300.0,563.0,,,2024,승용,
충북,충주시,1300.0,563.0,,,2024,승용,
충북,제천시,1300.0,563.0,,,2024,승용,
충북,보은군,1300.0,,,,2024,승용,
충북,옥천군,1300.0,563.0,,,2024,승용,
충북,증평군,1300.0,563.0,,,2024,승용,
충북,영동군,1300.0,563.0,,,2024,승용,
충북,진천군,1300.0,563.0,,,2024,승용,
충북,괴산군,1300.0,563.0,,,2024,승용,
충북,음성군,1300.0,563.0,,,2024,승용,
충북,단양군,1378.0,601.0,,,2024,승용,
충남,천안시,1350.0,600.0,,,2024,승용,
충남,공주시,1350.0,600.0,,,2024,승용,
충남,보령시,1350.0,600.0,,,2024,승용,
충남,아산시,1350.0,600.0,,,2024,승용,
충남,서산시,1350.0,600.0,,,2024,승용,
충남,논산시,1350.0,600.0,,,2024,승용,
충남,계룡시,1350.0,600.0,,,2024,승용,
충남,당진시,1350.0,600.0,,,2024,승용,
충남,금산군,1350.0,600.0,,,2024,승용,
충남,부여군,1350.0,600.0,,,2024,승용,
충남,서천군,1350.0,600.0,,,2024,승용,
충남,청양군,1350.0,600.0,,,2024,승용,
충남,홍성군,1350.0,600.0,,,2024,승용,
충남,예산군,1350.0,600.0,,,2024,승용,
충남,태안군,1350.0,600.0,,,2024,승용,
전북,전주시,1350.0,450.0,,,2024,승용,
전북,군산시,1350.0,450.0,,,2024,승용,
전북,익산시,1350.0,,,,2024,승용,
전북,정읍시,1350.0,450.0,,,2024,승용,
전북,남원시,1350.0,450.0,,,2024,승용,
전북,김제시,1350.0,450.0,,,2024,승용,
전북,완주군,1350.0,450.0,,,2024,승용,
전북,진안군,1350.0,450.0,,,2024,승용,
전북,무주군,1350.0,450.0,,,2024,승용,
전북,장수군,1350.0,450.0,,,2024,승용,
전북,임실군,1350.0,450.0,,,2024,승용,
전북,순창군,1350.0,450.0,,,2024,승용,
전북,고창군,1350.0,450.0,,,2024,승용,
전북,부안군,1350.0,450.0,,,2024,승용,
전남,목포시,1300.0,515.0,,,2024,승용,
전남,여수시,1270.0,488.0,,,2024,승용,
전남,순천시,1300.0,500.0,,,2024,승용,
전남,나주시,1300.0,585.0,,,2024,승용,
전남,광양시,1400.0,535.0,,,2024,승용,
전남,담양군,1400.0,538.0,,,2024,승용,
전남,곡성군,1300.0,335.0,,,2024,승용,
전남,구례군,1400.0,665.0,,,2024,승용,
전남,고흥군,1400.0,635.0,,,2024,승용,
전남,보성군,1500.0,250.0,,,2024,승용,
전남,화순군,1400.0,625.0,,,2024,승용,
전남,장흥군,1400.0,538.0,,,2024,승용,
전남,강진군,1400.0,478.0,,,2024,승용,
전남,해남군,1300.0,500.0,,,2024,승용,
전남,영암군,1500.0,606.0,,,2024,승용,
전남,무안군,1500.0,606.0,,,2024,승용,
전남,함평군,1500.0,335.0,,,2024,승용,
전남,영광군,1400.0,715.0,,,2024,승용,
전남,장성군,1250.0,523.0,,,2024,승용,
전남,완도군,1300.0,,,,2024,승용,
전남,진도군,1400.0,695.0,,,2024,승용,
전남,신안군,1400.0,538.0,,,2024,승용,
경북,포항시,1250.0,480.0,,,2024,승용,
경북,경주시,1250.0,480.0,,,2024,승용,
경북,김천시,1250.0,480.0,,,2024,승용,
경북,안동시,1250.0,480.0,,,2024,승용,
경북,구미시,1250.0,480.0,,,2024,승용,
경북,영주시,1250.0,480.0,,,2024,승용,
경북,영천시,1250.0,480.0,,,2024,승용,
경북,상주시,1250.0,480.0,,,2024,승용,
경북,문경시,1250.0,480.0,,,2024,승용,
경북,경산시,1250.0,480.0,,,2024,승용,
경북,의성군,1250.0,480.0,,,2024,승용,
경북,청송군,1250.0,480.0,,,2024,승용,
경북,영양군,1250.0,480.0,,,2024,승용,
경북,영덕군,1250.0,480.0,,,2024,승용,
경북,청도군,1250.0,480.0,,,2024,승용,
경북,고령군,1250.0,480.0,,,2024,승용,
경북,성주군,1250.0,480.0,,,2024,승용,
경북,칠곡군,1250.0,480.0,,,2024,승용,
경북,예천군,1250.0,480.0,,,2024,승용,
경북,봉화군,1258.0,480.0,,,2024,승용,
경북,울진군,1250.0,480.0,,,2024,승용,
경북,울릉군,1750.0,673.0,,,2024,승용,
경남,창원시,1230.0,470.0,,,2024,승용,
경남,진주시,1230.0,470.0,,,2024,승용,
경남,통영시,1230.0,470.0,,,2024,승용,
경남,사천시,1230.0,470.0,,,2024,승용,
경남,김해시,1230.0,470.0,,,2024,승용,
경남,밀양시,1230.0,470.0,,,2024,승용,
경남,거제시,1230.0,470.0,,,2024,승용,
경남,양산시,1230.0,470.0,,,2024,승용,
경남,의령군,1450.0,550.0,,,2024,승용,
경남,함안군,1230.0,470.0,,,2024,승용,
경남,창녕군,1230.0,470.0,,,2024,승용,
경남,고성군,1230.0,470.0,,,2024,승용,
경남,남해군,1230.0,470.0,,,2024,승용,
경남,하동군,1230.0,470.0,,,2024,승용,
경남,산청군,1230.0,470.0,,,2024,승용,
경남,함양군,1230.0,470.0,,,2024,승용,
경남,거창군,1790.0,683.0,,,2024,승용,
경남,합천군,1690.0,360.0,,,2024,승용,
제주,제주특별자치도,1050.0,650.0,,,2024,승용,
공단,한국환경공단,650.0,250.0,,,2024,승용,
서울,서울특별시,,,"초소형650  경형1,153  소형2,022",,2024,화물,
부산,부산광역시,,,"초소형550  경형1,034  소형1,850",,2024,화물,
대구,대구광역시,,,"초소형590  경형1,103  소형1,961",,2024,화물,
인천,인천광역시,,,"초소형603  경형1,079  소형2,188",,2024,화물,
광주,광주광역시,,,"초소형560  경형1,040  소형1,871",,2024,화물,
대전,대전광역시,,,"초소형552  경형1,083  소형1,977",,2024,화물,
울산,울산광역시,,,"초소형520  경형1,024  소형1,885",,2024,화물,
세종,세종특별자치시,,,"초소형540  경형1,053  소형1,816",,2024,화물,
경기,수원시,,,"초소형600  경형1,132  소형2,109",,2024,화물,
경기,성남시,,,"초소형640  경형1,241  소형2,100",,2024,화물,
경기,의정부시,,,"초소형574  경형1,114  소형1,905",,2024,화물,
경기,안양시,,,"초소형600  경형1,182  소형2,175",,2024,화물,
경기,부천시,,,"초소형581  경형1,146  소형2,109",,2024,화물,
경기,광명시,,,"초소형600  경형1,217  소형2,240",,2024,화물,
경기,평택시,,,"초소형654  경형1,289  소형2,372",,2024,화물,
경기,동두천시,,,"초소형633  경형1,247  소형2,294",,2024,화물,
경기,안산시,,,"초소형618  경형1,217  소형2,240",,2024,화물,
경기,고양시,,,"초소형600  경형1,182  소형2,175",,2024,화물,
경기,과천시,,,"초소형654  경형1,289  소형2,372",,2024,화물,
경기,구리시,,,"초소형650  경형1,477  소형2,372",,2024,화물,
경기,남양주시,,,"초소형600  경형1,280  소형1,950",,2024,화물,
경기,오산시,,,"초소형654  경형1,289  소형2,372",,2024,화물,
경기,시흥시,,,"초소형600  경형1,280  소형2,109",,2024,화물,
경기,군포시,,,"초소형600  경형1,182  소형2,000",,2024,화물,
경기,의왕시,,,"초소형600  경형1,182  소형2,175",,2024,화물,
경기,하남시,,,"초소형527  경형1,132  소형1,911",,2024,화물,
경기,용인시,,,"초소형618  경형1,379  소형2,240",,2024,화물,
경기,파주시,,,"초소형600  경형1,217  소형2,241",,2024,화물,
경기,이천시,,,"초소형618  경형1,379  소형2,240",,2024,화물,
경기,안성시,,,"초소형618  경형1,218  소형2,240",,2024,화물,
경기,김포시,,,"초소형600  경형1,182  소형2,175",,2024,화물,
경기,화성시,,,"초소형618  경형1,379  소형2,240",,2024,화물,
경기,광주시,,,"초소형620  경형1,221  소형2,050",,2024,화물,
경기,양주시,,,"초소형700  경형1,379  소형2,241",,2024,화물,
경기,포천시,,,"초소형654  경형1,289  소형2,150",,2024,화물,
경기,여주시,,,"초소형700  경형1,280  소형2,150",,2024,화물,
경기,연천군,,,"초소형633  경형1,428  소형2,100",,2024,화물,
경기,가평군,,,"초소형654  경형1,477  소형2,150",,2024,화물,
경기,양평군,,,"초소형654  경형1,477  소형2,372",,2024,화물,
강원,춘천시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
강원,원주시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
강원,강릉시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
강원,동해시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
강원,태백시,,,"초소형745  경형1,497  소형2,224",,2024,화물,
강원,속초시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
강원,삼척시,,,"초소형795  경형1,497  소형2,224",,2024,화물,
