시도,지역구분,보조금/승용(만원) (국비+지방비),보조금/초소형(만원) (국비+지방비),보조금/화물(만원) (국비+지방비),보조금/승합(만원) (국비+지방비)
협회,한국자동차환경협회,820.0,,"초소형512  경형1,100  소형1,800",
서울,서울특별시,1270.0,680.0,"초소형768  경형1,650  소형2,700","중형12,000  대형33,400"
부산,부산광역시,1320.0,700.0,"초소형762  경형1,600  소형2,300","중형6,000  대형16,700"
대구,대구광역시,1320.0,600.0,"소형2,700","중형6,000"
인천,인천광역시,1400.0,670.0,"초소형812  경형1,600  소형2,400",
광주,광주광역시,1400.0,650.0,"초소형512  경형1,600  소형2,400","중형6,000  대형23,000"
대전,대전광역시,1520.0,700.0,"소형2,600",
울산,울산광역시,1420.0,700.0,"소형2,400",
세종,세종특별자치시,1220.0,600.0,,
경기,수원시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,성남시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,의정부시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,안양시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,부천시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700"
경기,광명시,1320.0,650.0,"초소형768  경형1,650  소형2,880","대형16,700"
경기,평택시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,동두천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,안산시,1420.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,고양시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,과천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,구리시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,남양주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,오산시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형26,720"
경기,시흥시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,군포시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,의왕시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,하남시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700"
경기,용인시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
