년도,지역,보조금/승용(만원),화물/초소형(만원),화물/경형(만원),화물/소형(만원)
2020,강원,1446.111111111111,1017.0,1450.0,2707.6470588235293
2020,경기,1323.225806451613,759.4666666666667,1631.6666666666667,2705.8064516129034
2020,경남,1470.0,878.6666666666666,1716.6666666666667,2466.6666666666665
2020,경북,1442.7272727272727,847.2941176470588,1652.9411764705883,2422.7272727272725
2020,광주,1400.0,512.0,1600.0,2400.0
2020,대구,1320.0,0.0,0.0,2700.0
2020,대전,1520.0,0.0,0.0,2600.0
2020,부산,1320.0,762.0,1600.0,2300.0
2020,서울,1270.0,768.0,1650.0,2700.0
2020,세종,1220.0,0.0,0.0,0.0
2020,울산,1420.0,0.0,0.0,2400.0
2020,인천,1400.0,812.0,1600.0,2400.0
2020,전남,1616.5,591.2,1220.0,2516.6666666666665
2020,전북,1720.0,765.8461538461538,1650.0,2757.1428571428573
2020,제주,1320.0,912.0,1600.0,2500.0
2020,충남,1566.1538461538462,668.25,1475.0,2700.0
2020,충북,1620.0,1112.0,1700.0,2700.0
2021,강원,1320.0,1300.0,1700.0,3150.0
2021,경기,1248.3870967741937,874.3225806451613,1617.0967741935483,2935.1612903225805
2021,경남,1447.2222222222222,1068.7058823529412,1761.764705882353,2730.5555555555557
2021,경북,1421.7391304347825,923.9130434782609,1726.0869565217392,2726.086956521739
2021,광주,1300.0,900.0,1500.0,2600.0
2021,대구,1250.0,850.0,1550.0,2550.0
2021,대전,1500.0,900.0,1650.0,3150.0
2021,부산,1250.0,850.0,1600.0,2600.0
2021,서울,1000.0,900.0,1650.0,3150.0
2021,세종,820.0,900.0,1400.0,2400.0
2021,울산,1350.0,900.0,1650.0,2650.0
2021,인천,1280.0,900.0,1600.0,2880.0
2021,전남,1559.5454545454545,962.9,1653.25,2818.190476190476
2021,전북,1700.0,902.1428571428571,1750.0,3000.0
2021,제주,1250.0,1000.0,1600.0,2700.0
2021,충남,1553.3333333333333,935.2307692307693,1978.3846153846155,2985.4
2021,충북,1600.0,900.0,1700.0,3000.0
2022,강원,1140.0,1300.0,1540.0,2716.8333333333335
2022,경기,1087.0967741935483,871.5862068965517,1489.4137931034484,2650.8333333333335
2022,경남,1349.7222222222222,887.5882352941177,1483.1764705882354,2496.777777777778
2022,경북,1321.7391304347825,922.7272727272727,1608.409090909091,2466.090909090909
2022,광주,1100.0,840.0,1320.0,2240.0
2022,대구,1100.0,850.0,1350.0,2240.0
2022,대전,1200.0,1200.0,1500.0,3556.0
2022,부산,1050.0,850.0,1360.0,2340.0
2022,서울,900.0,900.0,1500.0,2628.0
2022,세종,900.0,900.0,1300.0,2240.0
2022,울산,1050.0,800.0,1300.0,2240.0
2022,인천,1060.0,857.0,1428.0,2628.0
2022,전남,1498.6363636363637,978.2380952380952,1612.85,2648.6363636363635
2022,전북,1500.0,900.0,1600.0,2890.785714285714
2022,제주,1100.0,1000.0,1500.0,2340.0
2022,충남,1413.3333333333333,935.0,1900.0,2736.2
2022,충북,1400.0,900.0,1500.0,2640.0
2023,강원,1040.0,1090.0,1700.0,2160.0
2023,경기,1047.741935483871,845.5806451612904,1390.3548387096773,2227.5806451612902
2023,경남,1325.2777777777778,833.2941176470588,1375.7058823529412,2251.1111111111113
2023,경북,1301.7391304347825,841.0909090909091,1380.6818181818182,2087.391304347826
2023,광주,1070.0,770.0,1188.0,1885.0
2023,대구,1030.0,800.0,1250.0,1946.0
2023,대전,1030.0,756.0,1237.0,2007.0
2023,부산,980.0,750.0,1200.0,1860.0
2023,서울,860.0,825.0,1260.0,1946.0
2023,세종,1080.0,750.0,1200.0,1860.0
2023,울산,1020.0,715.0,1170.0,1898.0
2023,인천,1030.0,825.0,1350.0,2190.0
2023,전남,1455.0,888.4285714285714,1441.7619047619048,2286.7272727272725
2023,전북,1380.0,800.0,1400.0,2282.6428571428573
2023,제주,1080.0,950.0,1400.0,2068.0
2023,충남,1380.0,885.0,1595.7142857142858,2373.0666666666666
2023,충북,1360.0,825.0,1350.0,2298.181818181818
2024,강원,938.0,792.2222222222222,1497.0,2224.0
2024,경기,967.9032258064516,621.6774193548387,1270.4193548387098,2179.6451612903224
2024,경남,1298.888888888889,609.2222222222222,1223.3333333333333,2070.0
2024,경북,1273.090909090909,633.1363636363636,1401.3636363636363,2270.0
2024,광주,1020.0,560.0,1040.0,1871.0
2024,대구,950.0,590.0,1103.0,1961.0
2024,대전,950.0,552.0,1083.0,1977.0
2024,부산,950.0,550.0,1034.0,1850.0
2024,서울,800.0,650.0,1153.0,2022.0
2024,세종,900.0,540.0,1053.0,1816.0
2024,울산,975.0,520.0,1024.0,1885.0
2024,인천,950.0,603.0,1079.0,2188.0
2024,전남,1378.1818181818182,666.4285714285714,1364.2857142857142,2160.409090909091
2024,전북,1350.0,650.0,1280.0,2372.0
2024,제주,1050.0,800.0,1280.0,2109.0
2024,충남,1350.0,640.0,1359.0,2350.0
2024,충북,1307.090909090909,879.0909090909091,1187.7272727272727,2279.0
2020,전국,1487.371794871795,806.26,1604.2553191489362,2607.3026315789475
2021,전국,1436.1490683229813,972.5194805194806,1709.4068965517242,2894.89375
2022,전국,1297.7950310559006,957.2435897435897,1575.4014084507041,2634.5911949685533
2023,전국,1249.472049689441,869.5870967741936,1425.9,2219.0434782608695
2024,전국,1191.6875,667.6540880503145,1314.7672955974842,2209.6
